Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0
,Oil,,,,,14.578,20.968,,,33.299,56.234,,,,,,,90.803,87.906,,,,,,,,,,,
,Natural Gas,,,,,1.752,1.228,,,1.358,0.082,,,,,,,18.428,7.935,,,,,,,,,,,
,Natural Gas Liquids,,,,,2.394,2.78,,,4.365,5.374,,,,,,,14.887,11.901,,,,,,,,,,,
,Field Service,,,,,3.474,4.631,,,3.399,2.911,,,,,,,12.978,15.383,,,,,,,,,,,
,Revenue,,,,,22.197999999999997,29.607000000000003,,,42.421,64.601,,,,,,,137.096,123.125,,,,,,,,,,,
,Oil & Gas,,,,,5.47,7.718,,,9.13,12.416,,,,,,,30.702,31.892,,,,,,,,,,,
,Production,,,,,2.504,1.444,,,2.953,3.698,,,,,,,7.114,7.112,,,,,,,,,,,
,Field Service,,,,,3.167,3.367,,,2.801,2.472,,,,,,,11.094,11.744,,,,,,,,,,,
,G&A,,,,,6.422,2.27,,,3.057,3.863,,,,,,,20.233,15.645,,,,,,,,,,,
,Costs,,,,,17.563,14.799,,,17.941,22.449,,,,,,,69.143,66.393,,,,,,,,,,,
,Operating Income,,,,,4.634999999999998,14.808000000000003,,,24.48,42.152,,,,,,,67.953,56.732,,,,,,,,,,,
,Taxes,,,,,0.375,3.022,,,3.024,4.943,,,,,,,6.119,6.119,,,,,,,,,,,
,Net Income,,,,,4.259999999999998,11.786000000000003,,,21.456,37.209,,,,,,,61.834,50.613,,,,,,,,,,,
,EPS,,,,,1.6092353487809847,4.457720866339481,,,8.36181205330889,14.647355728919404,,,,,,,,,,,,,,,,,,,
,Shares,,,,,2.64722,2.643952,,,2.565951,2.540322,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,30.637,4.795000000000002,,,43.201,9.208999999999996,,,,,,,33.127,109.015,,,,,,,,,,,
,CapEx,,,,,30.149,16.868000000000002,,,54.094,2.2920000000000016,,,,,,,15.974,113.779,,,,,,,,,,,
,FCF,,,,,0.48799999999999955,-12.073,,,-10.893,6.9169999999999945,,,,,,,17.153000000000002,-4.763999999999996,,,,,,,,,,,
