Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,1H23,2H23,1H24,2H24,,,,,2022.0,2023.0,2024.0
,Assessment & Qualifications,796,,811,,,,,,1444.0,1559.0,
,Virtual Learning,373,,254,,,,,,820.0,616.0,
,English Language Learning,184,,188,,,,,,321.0,415.0,
,Workforce Skills,140,,143,,,,,,204.0,220.0,
,Higher Education,379,,358,,,,,,898.0,855.0,
,Strategic Review,7,,0,,,,,,154.0,9.0,
,Revenue,1879,,1754,1754,,,,,3841.0,3674.0,3508.0
,COGS,960,,875,,,,,,2046.0,1839.0,
,Gross Profit,919,,879,,,,,,1795.0,1835.0,
,Operating Expenses,688,,654,,,,,,1549.0,1322.0,
,Operating Income,231,,225,,,,,,246.0,513.0,
,Interest Income,5,,-13,,,,,,77.0,-20.0,
,Pretax Income,236,,212,,,,,,323.0,493.0,
,Taxes,49,,54,,,,,,79.0,113.0,
,Net Profit,187,,158,,,,,,244.0,380.0,
,EPS,,,0.2298516147803317,,,,,,,,
,Share,,,687.4,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Revenue y/y,,,-0.06652474720596058,,,,,,,-0.04347826086956519,-0.04518236254763197
,Gross Margin,0.48908994145822243,,0.5011402508551881,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Cash,,,618,,,,,,,,
,Taxes,,,98,,,,,,,,
,AR,,,1215,,,,,,,,
,Inventories,,,89,,,,,,,,
,Goodwill,,,3991,,,,,,,,
,Pension,,,491,,,,,,,,
,PP&E,,,207,,,,,,,,
,Assets,,,6709,,,,,,,,
,,,,,,,,,,,,
,Debt,,,1660,,,,,,,,
,AP,,,1060,,,,,,,,
,Taxes,,,71,,,,,,,,
,Pensions,,,42,,,,,,,,
,Other,,,65,,,,,,,,
,SE,,,3811,,,,,,,,
,L+SE,,,6709,,,,,,,,
,,,,,,,,,,,,
,CFFO,,,75,,,,,,361.0,525.0,
,CapEx,,,18,,,,,,57.0,30.0,
,FCF,,,57,,,,,,304.0,495.0,
