Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,2022,2023,2024,2025,2026,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0
,JNJ-2113,Phase I,Phase 2,Phase 3,Phase 3,File,500.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,,,,,,,
,Royalty,,,,,,0.1,0.11,0.12,0.13,0.13,0.14,0.14,,,,,,,
,Royalties,,,,0,0,50.0,110.0,180.0,260.0,325.0,420.00000000000006,490.00000000000006,494.90000000000003,499.84900000000005,504.84749000000005,509.8959649000001,514.9949245490001,,
,Rusfertide,,,,,,50.0,150.0,300.0,400.0,500.0,505.0,510.05,515.1505,520.302005,525.50502505,530.7600753004999,536.0676760535049,,
,Operating Margin,,,,,,35.0,105.0,210.0,280.0,350.0,353.5,357.03499999999997,360.60534999999993,364.21140349999996,367.853517535,371.53205271034994,375.2473732374534,,
,Profit Split,,,,,,17.5,52.5,105.0,140.0,175.0,176.75,178.51749999999998,180.30267499999997,182.10570174999998,183.9267587675,185.76602635517497,187.6236866187267,,
,Interest,,,,,,15.8,18.4656,24.2564992,34.1527071744,48.0455938039808,65.58305280570819,86.77771049549085,110.94715723134655,136.10395186274962,162.28182877835764,189.51562325982508,217.84130692430512,,
,Pretax,,,,,,83.3,180.9656,309.2564992,434.1527071744,548.0455938039808,662.3330528057082,755.2952104954909,786.1498322313465,818.0586536127496,851.0560775458576,885.1776145150002,920.459918092032,,
,Taxes,,,,,,16.66,36.19312,61.85129984,86.83054143488,109.60911876079615,132.46661056114166,151.05904209909818,157.22996644626932,163.61173072254994,170.21121550917155,177.03552290300004,184.0919836184064,,
,Net Income,,,,-100,-100,66.64,144.77248,247.40519936,347.32216573952,438.4364750431846,529.8664422445665,604.2361683963927,628.9198657850773,654.4469228901996,680.8448620366861,708.1420916120002,736.3679344736256,,
,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,595,495,395,461.64,606.41248,853.8176793599999,1201.13984509952,1639.5763201427046,2169.442762387271,2773.678930783664,3402.598796568741,4057.0457194589408,4737.890581495627,5446.0326731076275,6182.400607581253,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ROIC,0.04,,,,,,,,,,,,,,,,,,
,Discount,0.09,,,,,,,,,,,,,,,,,,
,NPV,2937.652461073525,,,,,,,,,,,,,,,,,,
,Share,49.87137183079255,,,,,,,,,,,,,,,,,,
