Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Name,Monogenic,Etiology,Treatments
,Alcohol Use Disorder,NO,,
,Agitation,NO,,
,Angelman Syndrome,YES,,
,Attention Deficit Hyperactivity Disorder,NO,,
,Anorexia Nervosa,NO,,
,Autism Spectrum Disorder,NO,,
,Benzodiazepene Use Disorder,NO,,
,Bipolar Disorder,NO,,
,Borderline Personality Disorder,NO,,
,Developmental Prosopagnosia,NO,,
,Down Syndrome,NO,,
,Fragile X Syndrome,YES,,
,Generalized Anxiety Disorder,NO,,
,Insomnia,NO,,
,Major Depressive Disorder,NO,,
,Obsessive Compulsive Disorder,NO,,
,Opioid Use Disorder,NO,,
,Phelan-McDermid syndrome,YES,,
,Post-Traumatic Stress Disorder,NO,,
,Prader-Willi syndrome,YES,,
,Psychotic Major Depression,NO,,
,Rett Syndrome,YES,,
,Schizophrenia,NO,,
,Smoking Cessation,NO,,
,Tourette's,NO,,
