Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Brand,Generic,Indication,MOA,Phase,Active?,Company,Notes
,SEP-363856,ulotaront,Schizophrenia,TAAR agonist,III,YES,4506 JP,"Phase II n=245, 50mg, 75mg or PBO. -17.2 points vs -9.7 points at 4 weeks."
,"RG7906, RO-6889450",ralmitaront,Schizophrenia,TAAR agonist,II,,Roche,
,,,,,,,SAGE,
,,tedatioxetine,,,,,TAK/LUN,
,TAK-041/NBI-846,,Depression,GPR139 agonist,II,YES,,
,TAK-653/NBI-845,,Depression,AMPA agonist,,,,
,,amantadine,,,,,,
,MK-1942,,TRD,,,YES,MRK,
,CVL-231,emraclidine,Schizophrenia,M4 PAM,II,YES,CERE,
,NBI-1117568,,Schizophrenia,M4 PAM,II,YES,NBIX,
,MK-8189,,Schizophrenia,PDE10A inhibitor,II,YES,MRK,
,RP5063,brilaroxazine,Schizophrenia,D2 partial agonist,III,YES,Reviva Pharmaceuticals,
,KarXT,"xanomeline, trospium",Schizophrenia,M4 PAM,III,YES,KRTX,
,CPL500036,,Schizophrenia,PDE10A inhibitor,II,YES,Celon Pharma SA,
,Falkieri,esketamine,Bipolar Depression,NMDA,,YES,Celon Pharma SA,
,BI 425809,,Schizophrenia,GlyT1 inhibitor,II,YES,Boehringer Ingelheim,
,TV-44749,olanzapine,Schizophrenia,D2 antagonist,III,YES,TEVA,
,TPN672,,Schizophrenia,D2 antagonist,I,YES,Jiangsu Kanion,
,,agomelatine,,,,,,
,TAK-831/NBI-1065844,luvadaxistat,CIS Schizophrenia,DAAO inhibitor,,,TAK/NBIX,
,RL-007,,CIS Schizophrenia,GABA/nicotinic,I,YES,Recognify,
,HS-10380,,,,,,Jiangsu Hansoh,
,LYN-005,risperidone,Schizophrenia,D2 antagonist,I,YES,Lyndra Therapeutics,
,JX11502MA,,Schizophrenia,,,,Zhejiang Jingxin,
,LY03010,paliperidone palmitate,Schizophrenia,,,,,
,vabicaserin,,,,,,,
,PF-02545920,,,,,,,
,RG1678,,,,,,,
,MK-0249,,,,,,,
,encenicline,,,,,,,
,LY404039,,,,,,,
,CX516,,,,,,,
,SR48692,,,,,,,
,SR142801,,,,,,,
,SR141716,,,,,,,
,L-745870,,,,,,,
,SCH39166,,,,,,,
,M100907,,,,,,,
,TAK-063,,,,,,,
