Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,2021.0,2022.0,2023.0,2024.0
,Bookings,,,,,0.733,1.8,1.8,1.4333333333333333,2.9,2.5,2.9,3,4.5,2.7,2.3,18.3,1.6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,1409,1137,1307,2426,1712,1371,1695,2395,1583,1707,2562,3030,2465,2183,1870,2309,15001,3095,3739,2000,,6279.0,7173.0,8882.0,8827.0
,COGS,,,,,,,,,1162,1002,1033,939,806,795,827,836,1124,1119,1070,,,,2923.0,4136.0,3264.0
,Gross Profit,,,,,,,,,421,705,1529,2091,1659,1388,1043,1473,13877,1976,2669,,,,4250.0,4746.0,5563.0
,R&D,,,,,,,,,10915,9548,9459,7956,8525,8355,8668,9752,10288,,14075,,,,32101.0,37878.0,35300.0
,G&A,,,,,,,,,11296,9576,8003,8139,7566,7471,9259,8126,7957,,9383,,,,21539.0,37014.0,32422.0
,S&M,,,,,,,,,2900,2488,2474,2414,3084,4401,3752,3827,6923,,6947,,,,10068.0,10276.0,15064.0
,Operating Expenses,,,,,,,,,25111,21612,19936,18509,19175,20227,21679,21705,25168,0,30405,0,,,63708.0,85168.0,82786.0
,Operating Income,,,,,,,,,-24690,-20907,-18407,-16418,-17516,-18839,-20636,-20232,-11291,1976,-27736,0,,,-59458.0,-80422.0,-77223.0
,Interest,,,,,,,,,-212,-575,-1035,-333,-1140,-1160,-1180,-417,-226,,0,,,,-2335.0,-2155.0,-3897.0
,Pretax Income,,,,,,,,,-24902,-21482,-19442,-16751,-18656,-19999,-21816,-20649,-11517,1976,-27736,0,,,-61793.0,-82577.0,-81120.0
,Taxes,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0
,Net Income,,,,,,,,,-24902,-21482,-19442,-16751,-18656,-19999,-21816,-20649,-11517,1976,-27736,0,,,-61793.0,-82577.0,-81120.0
,EPS,,,,,,,,,-0.2022183816086613,-0.1687007520455241,-0.14593556466674945,-0.12138956800184031,-0.1156541729452678,-0.11617930930677366,-0.10822205182749896,-0.10243294591978483,-0.04021012834792262,,-0.08105087213102494,,,,-0.5164575686182619,-0.5984112206368556,-0.40240982967760885
,Shares,,,,,,,,,123144.097,127337.903,133223.18,137993.736,161308.49,172139.085,201585.533,201585.533,286420.374,,342204.831,,,,119647.777,137993.736,201585.533
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,,0.2651356993736953,0.5571699305116866,0.27885178676039835,-0.2701014832162373,-0.23795379537953798,5.085598377281947,0.4177737059092992,0.9994652406417113,,,,0.14237935977066418,0.2382545657326085,-0.00619229903174956
