Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,non-linear quantum optics,,,,,,,,,,,Price,18.0,
,Qatalyst,,,,,,,,,,,Share,223.93439999999998,2025-08-13 00:00:00
,single photon driven to ground state solution,,,,,,,,,,,MC,4030.8192,
,quantum sensing,,,,,,,,,,,Cash,1536.258,Q225
,reservoir computing,,,,,,,,,,,Debt,0.0,Q225
,lithium niobate,,,,,,,,,,,EV,2494.5612,
,,,,,,,,,,,,,,
,,,,,,,,,,,,AD,219.982,Q225
,Dirac-3,,,,,,,,,,,PIC,615.948,Q225
,,,,,,,,,,,,Cash/Share,6.860303731807173,
,UT Austin controversey - remove from PR,,,,,,,,,,,,,
,ASU controversey - no foundry,,,,,,,,,,,Founded,2018.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,6/2022: Qphoton,,,,,,,,,,,,,
