Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,Stock,P&L,Value,Absolute,Buys,Sells,Buy Avg,Sell Avg,Buy Amt,Sell Amt,Profit,Fee,P&L-ExFee,Fee %,Fee/Shr,Profit,
,AAPL,252,0,0,960,960,211.915,212.00063,203438.4,203520.6048,1,,252,0,0,1,
,ABT,395,0,0,1000,1000,130.17,130.235,130169.99999999999,130235.00000000001,1,,395,0,0,1,
,ADBE,352,0,0,350,350,380.80286,381.28889,133281.001,133451.1115,1,,352,0,0,1,
,AMZN,-57,0,0,635,635,193.44,193.48472,122834.4,122862.7972,0,,-57,0,0,0,
,AVGO,-94,0,0,550,550,191.47727,191.53164,105312.4985,105342.402,0,,-94,0,0,0,
,BABA,-49,0,0,770,770,138.65091,138.57818,106761.2007,106705.1986,0,,-49,0,0,0,
,COST,541,0,0,750,750,892.53533,893.112,669401.4975,669834,1,,541,0,0,1,
,F,0,0,0,,,,,0,0,0,,0,,,0,
,GOOGL,97,0,0,960,960,162.98812,163.09613,156468.5952,156572.2848,1,,97,0,0,1,
,JNJ,9,0,0,70,70,163.18,163.23,11422.6,11426.099999999999,1,,9,0,0,1,
,JPM,202,0,0,650,650,225.42462,225.69266,146526.003,146700.229,1,,202,0,0,1,
,KO,0,0,0,,,,,0,0,0,,0,,,0,
,LLY,0,0,0,,,,,0,0,0,,0,,,0,
,META,0,0,0,,,,,0,0,0,,0,,,0,
,MSFT,57,0,0,30,30,378.64,379.28,11359.199999999999,11378.4,1,,57,0,0,1,
,NVDA,422,0,0,1800,1800,115.60111,115.77398,208081.99800000002,208393.164,1,,422,0,0,1,
,NVO,-174,0,0,1900,1900,76.09658,76.06763,144583.502,144528.497,0,,-174,0,0,0,
,ORCL,-98,0,0,1350,1350,147.21287,147.14,198737.3745,198638.99999999997,0,,-98,0,0,0,
,PFE,86,0,0,5000,5000,25.682,25.704,128410,128520,1,,86,0,0,1,
,PG,19,0,0,60,60,168.29,168.55,10097.4,10113,1,,19,0,0,1,
,TSM,-153,0,0,1050,1050,171.3669,171.10659,179935.245,179661.91950000002,0,,-153,0,0,0,
,UNH,245,0,0,180,180,478.95833,480.62667,86212.4994,86512.8006,1,,245,0,0,1,
,V,-289,0,0,580,580,330.77793,330.21793,191851.1994,191526.39940000002,0,,-289,0,0,0,
,WMT,115,0,0,1430,1430,84.24445,84.37,120469.5635,120649.1,1,,115,0,0,1,
,Total,1878,0,0,20075,20075,,,3065354.1777000003,3066572.0084,1,,1878,0,0,1,
,,,,,,,,,6131926.1861000005,,,,,0.5416666666666666,,,0.5416666666666666
,,,,,,,,,,1217.8306999998167,,-660.1693000001833,,,,,
