Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112
,,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,,,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037,2038.0,2039.0,2040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crysvita Sales,,,,,,,3.277,,,,7.378,5.272,9.394,12.402,13.184,7.698,21.234,16.884,19.2,18.379,36.241,40.449,35.604,22.415,55.08,57.08,59.08,61.08,,,,,,42.678,75.697,134.709,232.32,232.32,232.32,232.32,232.32,232.32,232.32,232.32,232.32,232.32,232.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crysvita JV,,,,,,,34.058,,,,42.971,50.211,45.164,51.609,5.373,66.903,49.906,61.314,50.23,70.124,40.402,67.045,55.985,85.534,40.853,41.853,42.853,43.853,,,,,,169.049,231.57399999999998,248.966,169.412,169.412,169.412,169.412,169.412,169.412,169.412,169.412,169.412,169.412,169.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crysvita EU Royalty,,,,,,,3.331,,,,4.665,4.741,4.838,5.423,51.348,6.058,4.882,4.816,5.473,5.612,5.942,6.176,6.258,7.473,6.932,6.932,6.932,6.932,,,,,,67.667,20.783,25.849,27.728,27.728,27.728,27.728,27.728,27.728,27.728,27.728,27.728,27.728,27.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dojolvi,,,,,,,3.862,,,,10.654,11.825,12.429,13.497,13.274,16.412,14.303,16.491,16.553,23.286,16.362,19.355,21.374,31.103,17.009,21.009,25.009,29.009,,,,,,55.612,70.63300000000001,88.19399999999999,92.036,92.95636,93.8859236,94.824782836,95.77303066436,96.73076097100359,97.69806858071362,98.67504926652076,99.66179975918597,100.65841775677782,101.6650019343456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mepsevii,,,,,,,4.076,,,,3.918,3.111,4.861,4.933,6.045,4.798,8.48,8.439,5.633,7.889,6.611,6.145,9.616,7.978,8.387,8.387,9.387,9.387,,,,,,20.637,30.441,30.35,35.548,35.90348,36.262514800000005,36.625139948000005,36.991391347480004,37.36130526095481,37.73491831356436,38.1122674967,38.493390171667,38.87832407338367,39.26710731411751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Evkeeza,,,,,,,0,,,,0,0,0,0,0,0,0.212,0.365,0.963,2.102,3.275,7.856,10.657,10.374,11.031,12.031,13.031,14.031,,,,,,0.0,3.642,32.162,50.124,50.625240000000005,51.131492400000006,51.642807324,52.15923539724,52.680827751212405,53.20763602872453,53.73971238901178,54.277109512901895,54.819880608030914,55.36807941411122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,setrusumab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,100.0,150.0,200.0,250.0,300.0,309.0,318.27,327.8181,337.652643,347.78222229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daiichi,,,,,,,32.866,,,,12.061,8.229,3.249,1.479,1.479,1.479,1.479,0,0,0,0,0,0,0,0,0,0,0,,,,,,7.686,1.479,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product,,,,,,,11.215,,,,21.95,20.208000000000002,26.684,30.832,32.503,28.908,44.22900000000001,42.179,42.349000000000004,51.656000000000006,62.48899999999999,73.80499999999999,77.25099999999999,71.87,91.507,98.507,106.507,113.507,,,,,,118.92699999999999,180.413,285.41499999999996,410.028,511.80508000000003,563.5999308,615.412730108,667.24365740908,719.0928939831708,729.9606229230026,741.1170291522326,752.5703994437549,764.3292654381925,776.4024109525742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
