Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,,,,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0
,Service,,,,,,,301.657,,,,300.854,,,,,539.288,674.345,1042.112,,,,,,,
,Product,,,,,,,238.417,,,,299.663,,,,,240.508,211.748,880.653,,,,,,,
,Revenue,,,,,,,540.074,,,,600.517,,,,,779.796,886.0930000000001,1922.765,,,,,,,
,COS,,,,,,,174.267,,,,210.189,,,,,390.504,437.484,648.66,,,,,,,
,COP,,,,,,,238.505,,,,332.251,,,,,245.189,216.499,870.285,,,,,,,
,COGS,,,,,,,412.772,,,,542.4399999999999,,,,,635.693,653.983,1518.945,,,,,,,
,Gross Profit,,,,,,,127.30199999999996,,,,58.07700000000011,,,,,144.10300000000007,232.11000000000013,403.82000000000016,,,,,,,
,T&D,,,,,,,43.658,,,,48.063,,,,,69.765,84.297,156.718,,,,,,,
,Marketing,,,,,,,49.143,,,,33.748,,,,,76.71,54.881,138.74,,,,,,,
,G&A,,,,,,,54.395,,,,61.005,,,,,76.874,92.14,218.315,,,,,,,
,OpEx,,,,,,,147.19600000000003,,,,142.816,,,,,223.349,231.318,513.773,,,,,,,
,OpInc,,,,,,,-19.894000000000062,,,,-84.73899999999989,,,,,-79.24599999999992,0.7920000000001153,-109.95299999999986,,,,,,,
,Interest,,,,,,,0.9449999999999998,,,,-5.090000000000001,,,,,-1.5590000000000008,-19.319,-5.767,,,,,,,
,Pretax,,,,,,,-18.949000000000062,,,,-89.8289999999999,,,,,-80.80499999999992,-18.526999999999884,-115.71999999999986,,,,,,,
,Taxes,,,,,,,0,,,,0,,,,,0.0,0.0,0.0,,,,,,,
,Net Income,,,,,,,-18.949000000000062,,,,-89.8289999999999,,,,,-80.80499999999992,-18.526999999999884,-115.71999999999986,,,,,,,
,EPS,,,,,,,-0.18021801386566966,,,,-0.8270138829308528,,,,,,,,,,,,,,
,Shares,,,,,,,105.144872,,,,108.618491,,,,,91.583533,98.574529,104.68346,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,0.11191614482459822,,,,,,0.1363138564445061,1.1699358870908583,,,,,,,
,Gross Margin,,,,,,,,,,,0.09671166678045769,,,,,0.18479576709806161,0.2619476736640512,0.21002046531947488,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,-107.61,61.267,-301.568,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,-1163.79,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,555.7090000000001,,,,,,,,,,,,,,
,AR,,,,,,,,,,,96.343,,,,,,,,,,,,,,
,Inventory,,,,,,,,,,,301.231,,,,,,,,,,,,,,
,Loans,,,,,,,,,,,256.339,,,,,,,,,,,,,,
,Prepaids,,,,,,,,,,,27.361,,,,,,,,,,,,,,
,OCA,,,,,,,,,,,26.738,,,,,,,,,,,,,,
,PP&E,,,,,,,,,,,59.238,,,,,,,,,,,,,,
,ROU,,,,,,,,,,,45.647,,,,,,,,,,,,,,
,MSR,,,,,,,,,,,36.914,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,,,633.3679999999999,,,,,,,,,,,,,,
,Other,,,,,,,,,,,12.054,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,2050.942,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,12.422,,,,,,,,,,,,,,
,AL,,,,,,,,,,,133.885,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,1719.499,,,,,,,,,,,,,,
,Leases,,,,,,,,,,,60.897,,,,,,,,,,,,,,
,DT,,,,,,,,,,,0.344,,,,,,,,,,,,,,
,SE,,,,,,,,,,,147.288,,,,,,,,,,,,,,
,L+SE,,,,,,,,,,,2074.335,,,,,,,,,,,,,,
