Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Name,Indication,Approved,Economics,Mechanism,IP,,Price,493.72,
,Arcalyst (rilonacept),CAPS,2008-02-01 00:00:00,,IL-1,,,Shares,111.2,Q125
,Eylea (aflibercept),AMD,2011-11-18 00:00:00,BAY,VEGF,,,MC,54901.664000000004,
,Zaltrap (aflibercept),mCRC,2012-08-03 00:00:00,SNY,VEGF,,,Cash,17626.0,Q125
,Praluent (alirocumab),Hypercholesterolemia,2015-07-24 00:00:00,SNY,PCSK9,,,Debt,1985.0,Q125
,Dupixent (dupilumab),"Asthma, AD",2017-03-28 00:00:00,SNY,IL-4,,,EV,39260.664000000004,
,Kevzara (sarilumab),RA,2017-08-22 00:00:00,SNY,IL-6R,,,,,
,Libtayo (cemiplimab),NSCLC,2018-09-28 00:00:00,,PD-1,,,CEO: Len Schleifer,,
,Veopoz (pozelimab),CHAPLE,2023-08-18 00:00:00,1,C5,,,CSO: George Yancopoulos,,
,Evkeeza (evinacumab),Hypercholesterolemia,2021-02-11 00:00:00,1,ANGPTL3,,,CFO: Chris Fenimore,,
,,,Phase,,,,,"SVP, Internal Medicine: Boaz Hirshberg",,
,Ordspono (odronextamab),DLBCL,Filed,1,CD20xCD3,291.7,,Founded: 1988,,
,mibavademab,Lipodystrophy,III,1,LEPR agonist,,,IPO: 1991,,
,Lynozyfic (linvoseltamab),MM,Filed,1,BCMAxCD3,266.1,,,,
,fianlimab,Melanoma,III,1,LAG3,371.09999999999997,,,,
,itepekimab,"CRSsNP, COPD",III,,IL-33,193,,,,
,REGN9933,Thrombosis,III initiating,,Factor XI,,,,,
,REGN7508,Thrombosis,III initiating,,Factor XI,,,,,
,nexiguran ziclumeran (NTLA-2001),ATTR,III,NTLA,CRISPR,,,,,
,HS-20094,Obesity,I,Hansoh,GLP/GIP,,,,,
,REGN7257,Aplastic Anemia,,,IL-2Rgamma,,,,,
,trevogrumab,obesity,II,1,myostatin,,,,,
,ALN-CIDEB,NASH,I,ALNY,,,,"REGN5713-5715, , REGN1908-1909, mibavademab",,
,garetosmab,FOP/obesity,II,1,Activin A,,,,,
,REGN7075,NSCLC,,,EGFR/CD28,,,,,
,REGN7999,Iron Overload,,,TMPRSS6,,,,,
,REGN4018 (ubamatamab),ovarian cancer,,,MUC16xCD3,,,,,
,REGN6569,,,,GITR,,,,,
,DB-OTO,otoferlin deafness,II,,otoferlin AAV,,,,,
,REGN5093,,,,MET,,,,,
,27T51,ovarian cancer,I,2SeventyBio,MUC16 cell therapy,,,,,
,ALN-F1202,Factor XII,I,ALNY,,,,,,
,ALN-PNP,,,ALNY,PNPLA3,,,,,
,REGN9533,Factor XII,I,,,,,,,
,REGN10597,Oncology,I,, PD-1-IL2RA-IL2 Fusion Protein,,,,,
,REGN5459 (vonsetamig),"Multiple Myeloma, Kidney Translation, LN",II,,CD3xBCMA,,,,,
,REGN7945,,II,,CD38xCD28,,,,,
,REGN5668,Ovarian/Uterine Cancer,I/II,,MUC16xCD28,,,,,
,REGN5381,Hypertension,II,,NPR1 antagonist,,,,,
,REGN5837,NHL,II,,CD22xCD28,,,,,
,REGN7544,"POTS, Sepsis Hypotension",II,,NPR1 agonist,,,,,
,REGN4336,Prostate Cancer,I,,PSMAxCD3,,,,,
,fasinumab (REGN475),Pain,I (on hold),,NGF,,,,,
,,,,,,,,,,
,2H25: COURAGE obesity results,,,,Jun 2010: announced positive results of PRE-SURGE 1 of Arcalyst in gout prevention,,,,,
,,,,,Nov 2010: announced positive VIEW 1 & 2 results of VEGF-Trap in wet AMD,,,,,
,,,,,Dec 2010: announced positive COPERNICUS study of VEGF-Trap for CRVO,,,,,
,,,,,Feb 2011: announced positive results of PRE-SURGE 2 and RE-SURGE of Arcalyst in gout,,,,,
,,,,,Feb 2011: BLA for VEGF-Trap submitted to FDA,,,,,
,,,,,Apr 2011: announced positive GALILEO study of VEGF-Trap inCRVO (Bayer-led),,,,,
,,,,,Apr 2011: BLA for VEGF-Trap accepted and granted Priority Review,,,,,
,,,,,Apr 2011: Bayer initiated Ph3 VIVID-DME study ex-US,,,,,
,,,,,Apr 2011: announced positive Ph3 VELOUR study of ZALTRAP plus FOLFIRI in second-line mCRC,,,,,
,,,,,1H11: Bayer will submit application for VEGF-Trap in EU,,,,,
,,,,,1H11: plan to submit application for marketing approval of VEGF-Trap in CRVO in the US,,,,,
,,,,,mid-'11: interim analysis of Ph3 VENICE study of ZALTRAP as first-line tx for hormone-refractory prostate cancer in combo w docetaxel/prednisone,,,,,
,,,,,mid-'11: submit sBLA for Arcalyst in gout to FDA,,,,,
,,,,,"Aug 20, 2011: PDUFA for VEGF-Trap for wet AMD",,,,,
,,,,,2H11: plan to submit regulatory application for ZALTRAP in second-line mCRC to FDA & EMA,,,,,
,,,,,2H11: plan to initiate another DME study of VEGF-Trap in US,,,,,
,,,,,2H11: results fr Ph2 AFFIRM study of ZALTRAP plus FOLFOX in first-line mCRC,,,,,
,,,,,2012: Bayer will submit application for regulatory approval of VEGF-Trap in CRVO,,,,,
,,,,,2012: final results for Ph3 VENICE study of ZALTRAP in prostate cancer,,,,,
,,,,,"Nov. 11:  Eylea approved. Priced at $1,700/injection.",,,,,
