Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SpaceX,,,,,,,,,,,,,,,,,,,,,,31.0,61.0,96.0,134.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.5737704918032787,0.39583333333333326,0.30597014925373145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electron since inception,,,,,,,,,46,50,53,54,61,,,,,,,,,,,19.0,26.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electron launches,,,,,,,,,4,4,3,5,,,,,,,,,,9.0,9.0,10.0,16.0,20.0,28.0,36.0,44.0,52.0,60.0,68.0,76.0,84.0,92.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.6000000000000001,0.25,0.3999999999999999,0.2857142857142858,0.22222222222222232,0.18181818181818188,0.15384615384615374,0.1333333333333333,0.11764705882352944,0.10526315789473695,0.09523809523809534,0.08695652173913038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Launch Rev / Launch,,,,,,,,,,,,,,,,,,,,,,6.7428888888888885,6.7428888888888885,7.189400000000001,7.836,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Neutron Launches,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Neutron Price,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,56.65,58.3495,60.099985000000004,61.902984550000006,63.760074086500005,65.672876309095,67.64306259836785,69.67235447631889,71.76252511060845,73.9154008639267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Backlog,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Space Systems,,,,,,,,,,,,,,,,,,,,,,133.103,133.103,155.56,289.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-Launch Services,,,,,,,,,,,,,,,,,,,,,,,,16.13799999999999,20.986999999999995,23.085699999999996,25.39427,27.933697000000002,30.727066700000005,33.79977337000001,37.17975070700002,40.897725777700025,44.98749835547003,49.48624819101704,54.43487301011875,59.87836031113063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Launch,,,,,,,,,,,,,,,,,,,,,,60.686,60.686,71.894,125.376,215.0,393.95,638.097,952.99985,1344.54476825,1755.20148173,2185.821907727375,2637.2918779510355,3110.532406671161,3606.501004424338,4126.193038876701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product,,,,,,,,47.868,,,,84.003,,,,,,,,,,,,156.56,289.851,347.8212,417.38543999999996,500.86252799999994,601.0350335999999,721.2420403199999,865.4904483839998,1038.5885380607997,1246.3062456729597,1495.5674948075516,1794.6809937690618,2153.617192522874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Services,,,,,,,,12.123,,,,48.385,,,,,,,,,,,,88.032,146.363,238.0857,419.34427,666.030697,983.7269167000001,1378.34454162,1792.381232437,2226.7196335050753,2682.2793763065056,3160.018654862178,3660.935877434457,4186.071399187832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,54.895,62.045,67.661,59.991,92.767,106.251,104.808,132.388,120,145,170,195,168,203,237.99999999999997,273,,210.0,210.0,244.59199999999998,436.214,630.0,882.0,1166.893225,1584.7619503,2099.5865819399996,2657.871680821,3265.308171565875,3928.585621979465,4655.58614966973,5455.616871203519,6339.6885917107065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,,,,47.452,52.694,44.499,68.593,79.089,76.812,95.571,84,,,,,,,,,,,193.183,320.06500000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,,,,14.593000000000004,14.966999999999999,15.491999999999997,24.173999999999992,27.162000000000006,27.99600000000001,36.81700000000001,36,43.5,51,58.5,53.76,64.96000000000001,76.16,87.36,,210.0,210.0,51.40899999999999,116.14899999999994,195.3,291.06,385.07476425000004,522.971443599,692.8635720401999,877.0976546709301,1077.5516966167388,1296.4332552532235,1536.343429391011,1800.3535674971613,2092.097235264533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,,,,31.035,26.626,37.488,38.504,39.912,47.723,48.255,51.255,,,,,,,,,,,119.054,174.394,191.8334,220.60841,253.69967149999997,291.75462222499993,335.5178155587499,385.84548789256235,443.72231107644666,510.2806577379136,586.8227563986006,674.8461698583907,776.0730953371492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,,,,28.717,27.2,25.887,28.749,30.524,32.172,40.111,43.111,,,,,,,,,,,110.273,131.55599999999998,144.7116,166.41834,191.381091,220.08825464999998,253.10149284749997,291.0667167746249,334.72672429081865,384.93573293444143,442.6760928746076,509.0775068057987,585.4391328266685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
