Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Name,Indication,Approved,Rights,Mechanism,IP,,Price CHF,285.0,
,Avastin (bevacizumab),"mCRC, NSCLC, mBC, mRCC, GBM",2004,1,VEGF mab,Antibody,,Shares,800.403,Q423
,Herceptin (trastuzumab),mBC,1998,1,HER2,Antibody,,MC CHF,228114.855,
,MabThera/Rituxan (rituximab),"NHL, CLL, RA",1997,BIIB,CD20,Antibody,,Cash CHF,16862.0,Q424
,Hemlibra (emicizumab),Hemophilia,2017-11-16 00:00:00,100%?,,Antibody,,Debt CHF,34199.0,Q424
,Tecentriq (atezolizumab),Oncology,2016-05-18 00:00:00,1,PD-1 mab,Antibody,,EV CHF,245451.855,
,Perjeta (pertuzumab),"HER2+ mBC, NSCLC",,1,HER2,Antibody,,,,
,Ocrevus (ocrelizumab),Multiple Sclerosis,,BIIB,CD20,Antibody,,,,
,Tarceva (erlotinib),mPC,2004,OSIP,EGFr,2017?,,,,
,Lucentis (ranibizumab),AMD,,NVS,VEGF mab,Antibody,,,,
,Pegasys (peginterferon alfa-2a),HCV,2002,1,IFN-alpha,Protein,,,,
,Kadcyla (trastuzumab-DM1),2L HER2+ mBC,III,IMGN,HER2,Fusion,,Diagnostics,,
,Actemra (tocilizumab),RA,2009,1,IL-6,Antibody,,Failures,,
,CellCept (mycophenolate),Transplantation,1995,1,IMDPH inhibitor,Expired,,,,
,Polivy (polatuzumab vedotin),DLBCL,,SGEN,CD79b ADC,ADC,,,,
,Erivedge (R7201/GDC-0449),"BCC, Ovarian, CRC",,CRIS,Hedgehog,NCE,,,,
,Gazyva (obinutuzumab),CLL,2013,1,CD20,Antibody,,,,
,Evrysdi,SMA,,PTCT,,,,,,
,Xofluza (baloxavir marboxil),Influenza,2018-10-24 00:00:00,1,,,,,,
,Enspryng (satralizumab),NMOSD,2020-08-14 00:00:00,1,IL-6,Antibody,,Founded: 1896,,
,Itovebi (inavolisib),mBC,,,,,,,,
,Lunsumio (mosunetuzumab),3L FL,2022-12-22 00:00:00,1,CD20xCD3,Bispecific,,,,
,Vabysmo (faricimab),AMD,2022-01-28 00:00:00,1,VEGF/Ang2,Bispecific,,,,
,Phesgo (pertuzumab/trastuzumab),mBC,2020-06-29 00:00:00,HALO,HER2,,,COB: Severin Schwan,,
,Xeloda (capecitabine),"mCRC, Gastric Cancer",1998,1,Chemotherapy,2012-13,,CEO: Thomas Schinecker replaced Severin Schwann,,
,Zelboraf (RG7204/PLX4032),Malignant Melanoma,,Plexxicon,RAF kinase inhibitor,NCE,,CFO: Alan Hippe,,
,Mircera (CERA),Anemia,2007,NKTR,EPO,Protein,,CEO Diagnostics: Matt Sause replaced Thomas Schinecker,,
,,,Phase,,,,,CMO: Levi Garraway,,
,delandistrogene moxeparvovec/SRP-9001,DMD,III,SRPT,,,,CEO Pharma: Teresa Graham,,
,RG6026 (glofitamab),DLBCL,III,,CD20xCD3,Bispecific,,,,
,RG6058 (tiragolumab),NSCLC,III,1,TIGIT,Antibody,,,,
,fenebrutinib,Multiple Sclerosis,III,,BTK,,,,,
,giredestrant,,III,,SERD,,,,,
,RG6076,R/R BCL,,,CD19-4-1BBL,Fusion,,,,
,RG6007,AML,,,HLA-A2-WT1xCD3,Bispecific,,,,
,RG6129,,,,HLA-A2-MAGE-A4xCD3,Bispecific,,,,
,RG1450 (gantenerumab),Alzheimer's,III,MOR GR,Amyloid-Beta,Antibody,,,,
,prasinezumab,Parkinson's,II,PRTA,alpha-synuclein,Antibody,,,,
,RO7790121,"MASH, UC, AD",II,,TL1A,Antibody,,,,
,RO7486967,Ulcerative Colitis,I,,NLRP3,,,,,
,RG7412 (crenezumab),Alzheimer's,,,Amyloid-Beta,Antibody,,,,
,RG1578,Depression (was Alzheimer's),I,1,mGluR2/3,NCE,,Switzerland,,
,RG1662,Alzheimer's,I,1,GABRA5,,,Basel,,
,RG1577,Alzheimer's,I,Evotec,MAO-B,NCE,,Rotkreuz,,
,RG7203,Schizophrenia,I,1,PDE10A,,,,,
,RG7129,Alzheimer's,I,1,BACE,NCE,,South San Francisco,,
,RG7314,Autism,I,1,V1A vasopressin,NCE,,"Penzberg, Germany",,
,R4733,Solid Tumors,I,1,Gamma Secretase,NCE,,,,
,R7160/RO5083945,Solid Tumors,I,1,huMab EGFR,Antibody,,,,
,R547,Solid Tumors,I,1,CDK inhibitor,,,,,
,R7167,Solid Tumors,I,1,CIF/MEK,NCE,,,,
,RG7414,Solid Tumors,I,1,Anti-EGFL7,Antibody,,,,
,RG7422/GC-0980,Solid Tumors,I,1,PI3 kinase,NCE,,,,
,R7304,Solid Tumors,I,1,,NCE,,,,
,R7112,Solid Tumors,I,1,MDM2,NCE,,,,
,CT-996,Obesity,I,1,GLP-1 oral,,,,,
,CT-388,Obesity,I,1,GLP-1/GIP,,,,,
,GDC-0068,Solid Tumors,I,1,,NCE,,,,
,GDC-0973/XL518,Solid Tumors,I,EXEL,,NCE,,,,
,GDC-0941/RG7321,"Solid Tumors, MM, AML, NSCLC, BC",I,1,PI3 kinase,NCE,,,,
,R7347,Solid Tumors,I,1,Anti-NRP-1,NCE,,,,
,RG7010,ALS,I,1,IGF,Protein,,,,
,RG7420,Solid Tumors,I,1,MEK,NCE,,Poseida Therapeutics,,
,RG7413 (rhuMab beta-7) (etrolizumab?),Ulcerative Colitis,I,1,Beta-7,Antibody,,,,
,RG7415 (rontalizumab),SLE,II,1,Anti-IFN-alpha,Antibody,,,,
,RG7416,Rheumatoid Arthritis,I,1,LT-alpha,Antibody,,,,
,R7334,Solid Tumors,I,Thrombogenics,Anti-PGLF,Antibody,,,,
,RO7673396,Oncology,I,,RAS inhibitor,NCE,,,,
,R7334/BI204/RG7418,Atherosclerosis,I,BioInvent,Anti-oxLDL?,NCE,,,,
,,Colorectal Cancer,I,1,Topoisomerase I,NCE,,,,
,,Liver Cancer,I,1,Anti-glypican,Antibody,,,,
,R4930,Asthma,II,1,OX40L huMAB,Antibody,,,,
,,,,,,,,,,
,,,,,May 18th 2007: FDA issues approvable for Mircera.,,,,,
,,,,,August 24th 2007: EMEA approves Avastin for 1L NSCLC.,,,,,
,,,,,April 29th 2008: Announces Rituxan fails in SLE.,,,,,
,,,,,May 22nd 2008: Announces plan to increase Chugai stake from 50% to 60%.,,,,,
,,,,,7/21/2008: Roche offers to purchase Genentech.,,,,,
,,,,,3/16/2009: Acquires Innovatis.,,,,,
,,,,,3/26/2009: Completes acquisition of Genentech.,,,,,
,,,,,4/16/2009: Reports Q109 sales.,,,,,
,,,,,4/22/2009: Announces Avastin C08 study fails.,,,,,
,,,,,5/6/2009: FDA approves Avastin for GBM.,,,,,
,,,,,7/31/2009: FDA accepts CR submission for Actemra.,,,,,
,,,,,August 2009: RIBBON-2 in 2L mBC successful for Avastin.,,,,,
,,,,,10/29/2009: Taspoglutide Phase III data.,,,,,
,,,,,2H 2009: Ocrelizumab SCRIPT results and MS results.,,,,,
,,,,,1/8 or 1/31/2010: Actemra PDUFA.,,,,,
,,,,,2010: AVANT Phase III results.,,,,,
,,,,,9/17/2010: mBC ADCOM,,,,,
,,,,,1/2011: Taspo returned.,,,,,
,,,,,2010: Phase III OC results.,,,,,
,,,,,2012: dalcetrapib fails,,,,,
,,,,,,,,,,
,,,,,7/26/2019: CHMP recommends Tecentriq for 1L ES-SCLC,,,,,
,,,,,7/26/2019: CHMP recommends Tecentriq for 1L NSCLC,,,,,
,,,,,,,,,,
