Main,Unnamed: 1,Unnamed: 2
,Brand Name,BIM-51077
,Generic Name,taspoglutide
,Mechanism,Human GLP-1.
,Economics,Ipsen
,Administration,29 gauge vs 23 gauge for exenatide LAR and less viscous solution than LAR. Once-weekly dosing.
,Competition,exenatide LAR
,Clinical Trials,
,,"Phase III - ""T-EMERGE-2"" to begin in 2H 2008 - NDA to be filed in 2010 - Results press released 10/29/2009 n=1189"
,,Taspo 10mg once weekly versus Exenatide 10mcg twice daily
,,Superior A1C control.
,,
,,Phase II - ADA 2008 presentation
,,n=306 vs placebo for 8 weeks.
,,"59%, 79%, 81% response rate across qw doses. 44% and 63% across biw dosing. 17% for placebo."
