Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,2022.0,2023.0,2024.0,2025.0
,Collins,23052.0,26253.0,28284.0,
,Pratt,20530.0,18296.0,28066.0,
,Raytheon,25176.0,26350.0,26713.0,
,Products,50773.0,49571.0,59612.0,
,Services,16301.0,19349.0,21126.0,
,Revenue,67074.0,68920.0,80738.0,
,COGS,53406.0,56831.0,65328.0,
,Gross Profit,13668.0,12089.0,15410.0,
,R&D,2711.0,2805.0,2934.0,
,SG&A,5573.0,5809.0,5806.0,
,Operating Expenses,8284.0,8614.0,8740.0,
,Operating Income,5384.0,3475.0,6670.0,
,Interest Income,613.0,275.0,-344.0,
,Pretax Income,5997.0,3750.0,6326.0,
,Taxes,1181.0,456.0,790.0,
,Net Income,4816.0,3294.0,5536.0,
,EPS,3.241133319873477,2.2948307092099762,4.120273891039,
,Shares,1485.9,1435.4,1343.6,
,,,,,
,Gross Margin,0.2037749351462564,0.1754062681369704,0.19086427704426664,
,,,,,
,,,,,
,CFFO,7168.0,7883.0,7159.0,
,CX,2288.0,2415.0,2625.0,
,FCF,4880.0,5468.0,4534.0,
