Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,2023-03-31 00:00:00,2024-03-31 00:00:00
,Oil,580458,560999
,Retail,226014,269118
,Other,66911,62455
,,,
,Revenue,903045,930529
,COGS,618746,590226
,Gross Profit,284299,340303
,Other,122318,127809
,Employees,24872,25679
,Operating Expenses,147190,153488
,Operating Income,137109,186815
,Interest Expense,19571,23118
,Pretax Income,156680,209933
,Taxes,74088,79020
,Net Income,82592,130913
,,,
,,,
,,,
,CFFO,55340,73998
,CX,29324,34258
,FCF,26016,39740
,USD FCF,3060.705882352941,4675.294117647059
