Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Kynamro (mipomersen),HoFH,ISIS,,,,,,
,Uroxatral/Xatral (alfuzosin),BPH,"95%, SKYE?",2003,SKYE XR,2011? 2017,Alpha-1,Oral,
,Tritace (ramipril),Hypertension,KG in US,1991-01-28 00:00:00,US generic,Generics,ACE,Oral,
,Copaxone,Multiple Sclerosis,TEVA,,Protein,Interferons,Unknown,SQ,
,Nasacort (triamcinolone),Allergic Rhinitis,,,"2011, 2016",Flonase,,Nasal,
,Ambien CR,Insomnia,1,,generic 9/2/2008,GABA,Oral,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,RetinoStat,Wet AMD,Oxford,I,Gene Therapy,?,Gene Therapy,Topical,
,StarGen,Stargardt,Oxford,I,Gene Therapy,?,Gene Therapy,Topical,
,GZ402663,AMD,1,I,Gene Therapy,?,Gene Therapy,Topical,
,UshStat,Usher Syndrome,Oxford,I,Gene Therapy,?,Gene Therapy,Topical,
,SAR228810,Alzheimer's,1,I,AB mab,?,Antibody,IV?,
,SAR279356,Infections,?,II,PNAB mab,Antibody,?,,licensed out to Aloplexx
,oditrasertib,Multiple Sclerosis,,II,RIPK1 inhibitor,,,,NCT05630547 failed
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Failures,,,,,,,,
,"BSI-201 (iniparib, PARP inhibitor)",,,,,,,,
,SSR125543,,,,,,,,
,SAR260093,,,,,,,,
,"SAR121463 (satavaptan, vasopressin 2 antagonist)",,,,,,,,
,XRP9881 (larotaxel),,,,,,,,
,fedratinib (JAK inhibitor),,,,,,,,
,idraparinux,,,,,,,,
,volinanserin,,,,,,,,
,AVE5026?,,,,,,,,
,Accomplia,,,,,,,,
,"Temusi (XRP0038 for PAD, NV1FGF)",,,,,,,,
,"xaliproden (neurotrophic for AD, ALS)",,,,,,,,
,"ombrabulin (AVE8062, VDA for sarcoma)",,,,,,,,
,Alvesco for asthma/COPD?,,,,,,,,
,"SR123781 anticoagulant, otamixaban anticoagulant",,,,,,,,
,SSR149744 (celivarone for Afib),,,,,,,,
,SL650472 (5HT antagonist for PAD),,,,,,,,
,SR46349 for Insomnia/FMS,,,,,,,,
,SAR110894 H3 antagonist for AD,,,,,,,,
