Main,Unnamed: 1,Unnamed: 2
,ABCA7,Transporter involved in cholesterol metabolism and phagocytic clearance of amyloid beta.
,ADAM10,Metalloprotease which processes APP.
,AICD,APP intracellular domain fragment
,Alzheimer's Disease,"45m globally, 5th leading cause of death. 6m in US."
,amyloid beta,"Also AB or beta-amyloid. The 4kDa fragment of APP. Deposition precedes clinical manifestations by 20-30 years. First reported in 1984, it was found to be the primary constituent of brain deposits in Down. Then, AB aggregates were discovered to be the main component of neocortical neuritic plaques. Accumulation begins in brain regions with high metabolic activity rates."
,amyloid beta 1-40,
,amyloid beta 1-42,
,amyloid precursor protein (APP),"The origin of beta-amyloid, a chromosome 21 gene producing a protein which is widely produced by brain neurons, vascular and blood cells (platelets) and some astrocytes. Cleaved by BACE1 at the ectodomain and gamma-secretase at intra-membraneous sites. Mutations in APP can cause AD Alzheimer's. Gene duplications of APP also cause ADAD. There is even a protective variant (A673T) which reduces APP cleavage."
,apolipoprotein E,"Chromosome 19 gene, 34-kDa, 299-AA ApoE protein. Expressed in astrocytes, microglia and other neurons. e4 allele causes AD, e2 protects, e3 is wildtype. Binds soluble amyloid beta and lipids. Homozygous e4 have 3-15x increase in AD."
,APP,see amyloid precursor protein
,BACE,"beta secretase, an enzyme which cleaves APP at its ectodomain"
,BIN1,"Endocytic recycling and amyloid-beta production, membrane folding."
,CD2AP,
,CD33,
,CLU,Molecular chaperone. Binds amyloid beta.
,gamma secretase,Enzyme which cleaves APP at intramembraneous sites.
,IGHG3,IG which creates antibodies which bind amyloid beta.
,presenilin-1,"Also known as PSEN1 or PS-1, this chromosome 14 gene is associated with autosomal dominant early-onset Alzheimer's disease. Penetrance is close to 100%. PSEN1 is part of the gamma-secretase complex."
,presenilin-2,Mutations much more rare than PSEN1.
,NFTs,neurofibrillary tangles (tau)
,PICALM,
,PTK2B,
,RIN3,
,SORL1,"Endocytic receptor involved in uptake of lipoproteins, APP processing and lysosomal targeting of amyloid beta."
,tau,spreads after accumulation of amyloid beta
,TREM2,"IG receptor, binds lipids and AB."
