Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,RUN
,Cash,,,,,,,,5874.527,5874.527
,Investments,,,,,,,,80.116,80.116
,AFS,,,,,,,,18594.056,17664.3532
,HTM,,,,,,,,7780.374,6224.2992
,FHLB stock,,,,,,,,560.343,560.343
,Loans HFS,,,,,,,,586.452,527.8068000000001
,Loans,,,,,,,,73802.542,
,PP&E,,,,,,,,117.229,
,ROU,,,,,,,,249.269,
,Accrued Interest,,,,,,,,449.815,
,Other Assets,,,,,,,,2268.928,
,Assets,,,,,,,,110363.65100000001,30931.445200000002
,,,,,,,,,,
,Deposits,,,,,,,,88589.727,88589.727
,Repo,,,,,,,,150,150
,FHLB,,,,,,,,11283.738,11283.738
,Debt,,,,,,,,571.635,571.635
,Leases,,,,,,,,281.57,
,Accrued Expenses,,,,,,,,1473.88,
,Liabilities,,,,,,,,102350.55,100595.09999999999
,Book Value,,,,,,,,8013.10100000001,
