Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96
,,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032,2033.0,2034.0,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adcetris,166.2,164.1,167.5,163.3,163.7,162.55,181.9,184.8,176.3,181,201.9,219.089,193.93000000000004,199.10000000000002,222.09000000000003,240.99790000000002,213.32300000000006,,,,226.052,265.766,307.562,476.903,627.733,658.6,705.55,795.9190000000001,875.5109000000002,901.7762270000003,928.8295138100003,956.6943992243004,985.3952312010294,1014.9570881370604,1045.4058007811723,1076.7679748046075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Padcev,0.2,34.5,57.2,61.8,69,69.75,82.4,95,92.7,100.2,123.6,105,101.97000000000001,110.22000000000001,135.96,115.50000000000001,112.16700000000003,,,,0.0,0.0,0.0,0.0,0.244,222.5,339.85,430.77000000000004,473.84700000000004,568.6164,682.3396799999999,784.6906319999998,863.1596951999999,889.0544860559999,915.7261206376799,943.1979042568103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tukysa,0,0,15.8,42.4,61.4,70.3,83,86.6,94.1,90.5,89,88,95.041,91.405,89.89,88.88,95.99141,,,,0.0,0.0,0.0,0.0,0.0,119.6,334.0,362.541,366.16641000000004,384.4747305000001,403.6984670250001,423.88339037625013,445.0775598950627,467.33143788981585,490.69800978430663,515.232910273522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tivdak,0,0,0,0,0,0,0,0.1,6.1,11.4,17.2,16,21,26,31,36,41,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.199999999999999,65.6,134.0,201.0,301.5,361.8,434.16,455.86800000000005,478.66140000000007,502.5944700000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Royalty,72.273,20.36,31.235,0,39.2,27.2,36.296,41.028,46,28.2,39.1,43.904,50.6,31.020000000000003,43.010000000000005,48.29440000000001,55.660000000000004,,,,40.98,67.455,66.056,83.44,138.491,90.795,150.524,161.804,177.98440000000002,183.323932,188.82364996,194.4883594588,200.323010242564,206.33270054984092,212.52268156633616,218.89836201332625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Collab,51.1,15.6,6.3,0,267.9,2.2,4.8,16.6,14.7,15.2,26.7,38.307,38.307,38.307,38.307,38.307,38.307,,,,69.77,84.926,108.632,94.357,150.245,0.0,0.0,76.614,153.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,238.67299999999997,218.95999999999998,271.735,267.5,333.29999999999995,329.8,383.596,407.528,415.20000000000005,411.29999999999995,470.8,510.3,500.84800000000007,496.052,560.2570000000001,567.9793000000001,556.4484100000001,,,,336.80199999999996,418.147,482.25,654.7,916.713,1091.4950000000001,1536.1240000000003,1893.248,2180.73671,2239.1912895000005,2505.1913107950004,2721.5567810593507,2928.115496538656,3033.543712632717,3143.014012769495,3256.691621348266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,11.928,29.421,48.244,61.8,61.8,64.135,78.09,82.65,86.7,87.626,106.1,108.122,105.17808000000002,104.17091999999997,117.65397000000002,119.27565299999998,116.85416609999999,,,,,,54.118,88.29299999999999,43.952,201.265,311.57500000000005,407.02608000000004,457.95470909999995,447.8382578999999,501.03826215899994,544.3113562118701,585.6230993077311,606.7087425265431,628.602802553899,651.3383242696532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,226.74499999999998,189.539,223.491,205.7,271.49999999999994,265.665,305.506,324.87800000000004,328.50000000000006,323.674,364.70000000000005,402.178,395.66992000000005,391.88108000000005,442.60303000000005,448.7036470000001,439.5942439000001,,,,336.80199999999996,418.147,428.132,566.407,872.761,890.2300000000001,1224.5490000000002,1486.22192,1722.7820009000002,1791.3530316000006,2004.1530486360004,2177.2454248474805,2342.492397230925,2426.834970106174,2514.411210215596,2605.3532970786127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,201.061,195.199,198.077,217.67,216.184,230.426,234.861,459.092,304.3,297.659,304.254,384.605,,,,,,,,,,,456.7,565.309,719.374,827.13,1228.6789999999999,986.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,115.229,122.249,125.642,127.579,158.365,159.842,165.13,180.281,210.9,174.225,220.259,210.378,221.44500000000002,182.93625,231.27195,220.8969,232.51725000000002,,,,,,167.233,261.096,373.932,533.835,716.153,826.307,400.0,412.0,424.36,437.0908,450.203524,463.70962972,477.6209186116,491.949546169948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpEx,316.29,317.448,323.719,345.24899999999997,374.549,390.26800000000003,399.991,639.373,515.2,471.884,524.513,594.983,221.44500000000002,182.93625,231.27195,220.8969,232.51725000000002,,,,0.0,0.0,623.933,826.405,1093.306,1360.9650000000001,1944.8319999999999,1812.825,400.0,412.0,424.36,437.0908,450.203524,463.70962972,477.6209186116,491.949546169948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpInc,-89.54500000000004,-127.90899999999999,-100.22799999999998,-139.54899999999998,-103.04900000000004,-124.60300000000001,-94.48500000000001,-314.495,-186.7,-148.21000000000004,-159.813,-192.80499999999995,174.22492000000003,208.94483000000005,211.33108000000004,227.80674700000012,207.07699390000008,,,,336.80199999999996,418.147,-195.801,-259.99799999999993,-220.54500000000007,-470.735,-720.2829999999997,-326.6030800000001,1322.7820009000002,1379.3530316000006,1579.7930486360005,1740.1546248474806,1892.2888732309248,1963.1253403861738,2036.790291603996,2113.4037509086647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest,64.244,-56.047,72.775,1.223,0.898,1,5.027,5.228,-4.9,-2.19,-1.609,4.278,,,,,,,,,,,36.914,13.652,61.895,18.849000000000007,6.354999999999999,0.47899999999999965,58.13780760000001,91.27988300400001,126.57507295449604,167.52790787266795,213.31228865795154,263.8467165432846,317.29404590959155,373.7920700099176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,-25.301000000000045,-183.956,-27.452999999999975,-138.32599999999996,-102.15100000000004,-123.60300000000001,-89.45800000000001,-309.267,-191.6,-150.40000000000003,-161.422,-188.52699999999996,174.22492000000003,208.94483000000005,211.33108000000004,227.80674700000012,207.07699390000008,,,,336.80199999999996,418.147,-158.887,-246.34599999999995,-158.65000000000006,-451.886,-713.9279999999997,-326.1240800000001,1380.9198085000003,1470.6329146040007,1706.3681215904967,1907.6825327201486,2105.6011618888765,2226.972056929458,2354.0843375135873,2487.1958209185823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
