Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Digital Industries,,,,,,,,,,Price EUR,188.4,
,,"Automation Systems, Software for Factories",,,,,,,,,Shares,789.0,Q324
,,6.3B software out of 17.0B total revenue,,,,,,,,,MC EUR,148647.6,
,,"Servo motors, Drives, Inverters, Sensors",,,,,,,,,Cash EUR,54408.0,Q324
,,,,,,,,,,,Debt EUR,53073.0,Q324
,Smart Infrastructure,,,,,,,,,,EV EUR,147312.6,
,,"Buildings, Electrification and Electrical Products",,,,,,,,,,,
,,"HVAC, Fire Safety, Switching, Voltage",,,,,,,,,,,
,,24B annual EUR,,,,,,,,,,,
,,,,,,,,,,,,,
,Mobility,,,,,,,,,,,,
,,"Rail passenger, Rail Freight",,,,,,,,,,,
,,16B EUR revenue,,,,,,,,,,,
,,,,,,,,,,,,,
,Healthineers,,,,,,,,,,,,
,,75% ownership,,,,,,,,,,,
,,22B EUR revenue,,,,,,,,,,,
