Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,Q124,Q224,Q324,Q424,Q125,,,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0
,Digital Orders,3979,,,,4213,,,,,,,,
,Infrastructure,5831,,,,6196,,,,,,,,
,Mobility,5636,,,,2660,,,,,,,,
,Health,5601,,,,6336,,,,,,,,
,Finance,112,,,,95,,,,,,,,
,Corporate,480,,,,565,,,,,,,,
,Orders,21639,,,,20065,,,,,,,,
,,,,,,,,,,,,,,
,Digital,4562,,,,4052,,,,,,,,
,Infrastructure,4827,,,,5286,,,,,,,,
,Mobility,2700,,,,2972,,,,,,,,
,Health,5175,,,,5482,,,,,,,,
,Finance,112,,,,95,,,,,,,,
,Corporate,368,,,,465,,,,,,,,
,Revenue,17744,,,,18352,,,,,,,,
,COGS,10707,,,,11264,,,,,,,,
,Gross Profit,7037,,,,7088,,,,,,,,
,R&D,1496,,,,1545,,,,,,,,
,SG&A,3373,,,,3500,,,,,,,,
,Operating Expenses,4869,0,0,0,5045,,,,,,,,
,Operating Income,2168,0,0,0,2043,,,,,,,,
,Interest Income,385,,,,248,,,,,,,,
,Pretax Income,2553,0,0,0,2291,,,,,,,,
,Taxes,648,,,,580,,,,,,,,
,Net Income,1905,0,0,0,1711,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,CFFO,,,,,,,,10322.0,12293.0,11814.0,,,
,CX,,,,,,,,2084.0,2218.0,2088.0,,,
,FCF,,,,,,,,8238.0,10075.0,9726.0,,,
