Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,2021-01-31 00:00:00,2021-04-30 00:00:00,,,2022-01-31 00:00:00,2022-04-30 00:00:00,,
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,FQ222,Q322,Q422
,Time-based products,,,,,631.29,648.794,,,707.483,723.821,,
,Upfront products,,,,,174.381,209.116,,,368.274,336.625,,
,Maintenance/Service,,,,,164.65,166.413,,,194.498,218.783,,
,Revenue,,,,,970.3209999999999,1024.3229999999999,,,1270.255,1279.2289999999998,,
,COGS,,,,,196.113,202.578,,,243.624,238.356,,
,Gross Margin,,,,,774.2079999999999,821.7449999999999,,,1026.631,1040.8729999999998,,
,R&D,,,,,357.468,362.345,,,383.971,389.964,,
,S&M,,,,,170.628,172.754,,,180.51,191.573,,
,G&A,,,,,77.488,72.694,,,81.008,73.957,,
,Operating Expenses,,,,,605.5840000000001,607.793,,,645.489,655.494,,
,Operating Income,,,,,168.6239999999998,213.95199999999988,,,381.14200000000005,385.3789999999998,,
,Interest Expense,,,,,28.756,21.764,,,-19.793,-23.913,,
,Pretax Income,,,,,197.3799999999998,235.7159999999999,,,361.34900000000005,361.4659999999998,,
,Taxes,,,,,14.759,20.917,,,13.556,45.007,,
,Net Income,,,,,182.6209999999998,214.7989999999999,,,347.79300000000006,316.4589999999998,,
,EPS,,,,,1.1611424429509707,1.3674758239589495,,,2.2113967432426422,2.0264140311333367,,
,Shares,,,,,157.277,157.077,,,157.273,156.167,,
,,,,,,,,,,,,,
,Revenue Growth,,,,,,,,,0.30910801683154365,0.24885314495525335,,
,,,,,,,,,,,,,
,Gross Margin,,,,,0.7978885337944865,0.8022323036776485,,,0.8082085880394094,0.8136721415790292,,
,,,,,,,,,,,,,
,Cash,,,,,,,,,1272.047,1720.521,,
,AR,,,,,,,,,1038.749,722.992,,
,Inventories,,,,,,,,,212.919,213.532,,
,Prepaids,,,,,,,,,423.782,417.201,,
,PP&E,,,,,,,,,477.521,491.641,,
,Lease,,,,,,,,,481.526,585.108,,
,Goodwill,,,,,,,,,3853.598,3949.4539999999997,,
,DT,,,,,,,,,628.879,605.785,,
,OLTA,,,,,,,,,512.325,504.147,,
,Assets,,,,,,,,,8901.346000000001,9210.381000000001,,
,,,,,,,,,,,,,
,AP,,,,,,,,,540.733,612.221,,
,Leases,,,,,,,,,556.235,656.487,,
,DR,,,,,,,,,2009.6399999999999,1961.178,,
,Debt,,,,,,,,,24.37,23.775,,
,OLTL,,,,,,,,,380.135,345.774,,
,SE,,,,,,,,,5390.233,5610.945999999999,,
,,,,,,,,,,8901.346,9210.381,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Model NI,,,,,,,,,347.79300000000006,316.4589999999998,,
,Reported NI,,,,,,,,,313.687,,,
,D&A,,,,,,,,,61.685,,,
,Leases,,,,,,,,,21.01,,,
,Amortization,,,,,,,,,16.737,,,
,SBC,,,,,,,,,95.771,,,
,Credit Losses,,,,,,,,,5.278,,,
,DT,,,,,,,,,-11.952,,,
,Non-Cash,,,,,,,,,4.486,,,
,WC,,,,,,,,,-350.95800000000014,,,
,CFFO,,,,,,,,,155.74399999999986,,,
