Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2021-03-30 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,,,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Game & Network,,,,,615.81,645.439,813.264,,604.116,720.735,1246.549,800,,,,1943.812,2310.872,1977.551,2656.278,2739.763,3371.4,,,,,,,
,Music,,,,,254.873,271.61,295.873,,308.07,359.319,363.747,,,,,799.995,807.489,849.909,939.867,1116.949,,,,,,,,
,Pictures,,,,,204.736,260.706,461.234,,341.377,337.468,331.537,,,,,1011.067,986.873,1011.854,752.987,1238.911,,,,,,,,
,Entertainment,,,,,576.268,581.919,686.946,,552.31,677.045,752.823,,,,,2602.367,2320.628,1911.268,2068.087,2339.186,,,,,,,,
,  TVs,,,,,221.021,207.179,269.5,,141.793,226.751,250.192,,,,,,,,,,,,,,,,,
,  AV,,,,,73.089,75.267,105.3,,91.06,99.887,122.605,,,,,,,,,,,,,,,,,
,  Cameras,,,,,116.41,104.972,117.85,,139.703,147.862,171.146,,,,,,,,,,,,,,,,,
,  Mobiles,,,,,81.413,99.102,102.33,,99.03,93.227,93.302,,,,,,,,,,,,,,,,,
,  Other,,,,,74.586,81.385,84.545,,72.32,99.005,105.235,,,,,,,,,,,,,,,,,
,Imaging & Sensing,,,,,197.885,278.263,324.813,,219.223,398.366,417.151,,,,,850.01,879.33,1070.576,1012.497,1076.424,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,,,,,1844.713,2003.203,2562.227,1986.5589999999995,2016.037,2451.043,3056.183,2085.8869499999996,,,,7322.747,7390.978999999999,6960.0380000000005,7333.67,8396.702,9609.149949999999,,,,,,,
,Financial,,,,,412.13,366.162,469.092,277.427,295.457,300.836,356.731,291.29835,,,,1221.235,1274.708,1299.847,1664.991,1524.8110000000001,1244.32235,,,,,,,
,Revenue,,,,,2256.843,2369.365,3031.319,2263.9859999999994,2311.494,2751.879,3412.9139999999998,2377.1852999999996,,,,8543.982,8665.687,8259.885,8998.661,9921.512999999999,10853.4723,,,,,,,
,COGS,,,,,1636.8419999999999,1688.105,2221.062,1673.8320000000006,1605.7669999999998,1939.3790000000001,2463.828,,,,,6230.4220000000005,6263.196,5925.049,6567.553,7219.841,,,,,,,,
,Gross Profit,,,,,620.001,681.2599999999998,810.2570000000001,590.1539999999989,705.7270000000003,812.4999999999998,949.0859999999998,,,,,2313.5599999999995,2402.491,2334.8360000000002,2431.108,2701.6719999999987,,,,,,,,
,SG&A,,,,,345.302,369.908,423.509,449.7539999999999,406.766,482.457,529.188,,,,,1583.197,1576.825,1502.625,1473.154,1588.473,,,,,,,,
,Operating Income,,,,,274.69899999999996,311.35199999999975,386.74800000000005,140.39999999999895,298.9610000000003,330.0429999999998,419.8979999999998,,,,,730.3629999999996,825.6659999999999,832.2110000000002,957.9540000000002,1113.1989999999987,,,,,,,,
,Other,,,,,8.511000000000003,-25.824999999999996,74.821,-53.203,-7.585000000000001,15.713000000000005,-21.319000000000003,,,,,-31.314,191.98000000000002,-32.760999999999996,40.011,4.304000000000002,,,,,,,,
,Pretax Income,,,,,283.21,285.52699999999976,461.5690000000001,87.19699999999895,291.3760000000003,345.7559999999998,398.5789999999998,,,,,699.0489999999996,1017.646,799.4500000000003,997.9650000000001,1117.5029999999988,,,,,,,,
,Taxes,,,,,70.095,68.703,113.645,-23.34599999999999,73.07,78.085,70.073,,,,,151.77,45.098,177.19,0.0,229.09699999999998,,,,,,,,
,Net Income,,,,,213.11499999999998,216.82399999999976,347.9240000000001,110.54299999999894,218.30600000000032,267.6709999999998,328.5059999999998,,,,,547.2789999999997,972.548,622.2600000000002,997.9650000000001,888.4059999999988,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.024215685362251715,0.1614415676774157,0.12588414482276522,0.050000000000000044,,,,,0.014244529073212053,-0.04682860112533482,0.0894414389546585,0.10255436892222058,0.09393318337636614,,,,,,,
,Gross Margin,,,,,0.2747204834363755,0.28752851502406757,0.26729519394032764,0.26067033983425647,0.305312062241996,0.2952528072636914,0.2780867024484062,,,,,,,,,,,,,,,,,
,Games % of R,,,,,0.2728634645830481,0.2724101183228418,0.26828717136005814,0,0.261353046990388,0.2619065009762421,0.3652447732348369,,,,,0.22750656543986164,0.266669220801536,0.23941628727276468,0.2951859171047781,0.2761436688134159,0.310628700826002,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Games OpInc,,,,,,82679,,,,42132,,,,,,177.478,311.092,238.4,341.718,346.089,,,,,,,,
,Music OpInc,,,,,,50586,,,,78733,,,,,,127.786,232.487,142.3,184.786,210.933,,,,,,,,
,Pictures OpInc,,,,,,31629,,,,27620,,,,,,41.11,54.599,68.157,79.851,217.393,,,,,,,,
,Entertainment OpInc,,,,,,72711,,,,77840,,,,,,133.129,76.508,87.276,127.859,212.942,,,,,,,,
,Imaging OpInc,,,,,,49725,,,,73987,,,,,,164.023,143.874,235.584,145.884,155.597,,,,,,,,
,Financial OpInc,,,,,,43053,,,,54628,,,,,,178.947,161.477,129.597,154.765,150.111,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Games OpMargin,,,,,,,,,,,,,,,,0.09130409730982215,0.13462104348488363,0.12055314881891795,0.12864542039650972,0.12632078030106983,,,,,,,,
,Music OpMargin,,,,,,,,,,,,,,,,0.1597334983343646,0.2879135195649724,0.1674296895314675,0.19660866909892571,0.1888474764738587,,,,,,,,
,Pictures OpMargin,,,,,,,,,,,,,,,,0.040660015607274294,0.0553252546173621,0.06735853196212101,0.10604565550268465,0.17547103867832314,,,,,,,,
,Entertainment OpMargin,,,,,,,,,,,,,,,,0.05115688909365972,0.032968661931166904,0.04566392572888783,0.061824768493781934,0.09103252156946903,,,,,,,,
,Imaging OpMargin,,,,,,,,,,,,,,,,0.19296596510629285,0.16361775442666573,0.22005350390817652,0.14408338987671074,0.14454991713302565,,,,,,,,
,Financial OpMargin,,,,,,,,,,,,,,,,0.14652953772206007,0.12667763911421281,0.09970173412717036,0.09295245439765139,0.09844564342728376,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,1253.971,1258.738,1349.745,1140.217,1233.643,,,,,,,,
,CapEx,,,,,,,,,,,,,,,,262.989,312.644,439.761,477.931,441.096,,,,,,,,
,FCF,,,,,,,,,,,,,,,,990.982,946.094,909.9839999999999,662.2860000000001,792.547,,,,,,,,
