Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0
,Revenue,,,11.186,9.501,6.707,8.751,13.268,17.147,11.594,13.462,25.094,34.543,29.129,42.683,47.683,52.683,,,,,,,,84.693,165.0,,,,,,,,,
,COGS,,,2.583,2.755,1.976,1.83,3.59,3.911,4.669,4.98,12.901,20.758999999999997,18.511,26.021,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,8.603,6.7459999999999996,4.731,6.920999999999999,9.678,13.235999999999999,6.925,8.482,12.193000000000001,13.784000000000002,10.618000000000002,16.662,,,,,,,,,,,,,,,,,,,,
,S&M,,,6.672,6.744,4.875,5.078,4.471,4.469,5.542,5.655,8.363,9.566,12.007,15.837,,,,,,,,,,,,,,,,,,,,
,R&D,,,19.352,21.528,14.184,11.736,12.806,12.713,14.878,15.738,19.545,20.394000000000005,24.756,25.805,,,,,,,,,,,,,,,,,,,,
,G&A,,,9.651,7.427,7.29,6.424,6.931,10.267,10.267,9.535,17.031,16.437000000000005,18.407,18.23,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,35.675,35.699,26.349,23.238,24.208,27.448999999999998,30.686999999999998,30.928,44.939,46.39700000000001,55.169999999999995,59.872,0,0,,,,,,,,,,,,,,,,,,
,Operating Income,,,-27.071999999999996,-28.953,-21.618000000000002,-16.317,-14.529999999999998,-14.213,-23.761999999999997,-22.446,-32.745999999999995,-32.613000000000014,-44.55199999999999,-43.21,0,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,,,0.18612551403540145,0.8047573939585306,0.7286417176084687,0.5383384756027882,0.8913174555321073,1.0145214906397624,1.512420217353804,2.1706284355964938,,,,,,,,,,,0.9482129573872693,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,-14.54,-19.661,,,-21.948,-18.491999999999997,-35.315,-33.123000000000005,-19.185,-24.497000000000003,,,,,,,,,,,,,,,,,,,,
