Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,Market Intelligence,,,,,,,,,,,,,,Price,530.0,
,,Capital IQ,,,,,,,,,,,,,Shares,307.8,Q424
,,"Wall Street Office, Enterprise Data Manager, Information Mosaic, iLevel",,,,,,,,,,,,,MC,163134.0,
,Ratings,,,,,,,,,,,,,,Cash,3460.0,Q424
,,"RatingsXpress, RatingsDirect",,,,,,,,,,,,,Debt,11398.0,Q424
,Commodity,,,,,,,,,,,,,,EV,171072.0,
,,Energy data,,,,,,,,,,,,,,,
,Mobility,,,,,,,,,,,,,,,,
,,"Dealer analytics, vehicle history data, used car data; manufacturing forecasts, insurance data",,,,,,,,,,,,,,,
,Indices,,,,,,,,,,,,,,CEO: Martina L. Cheung,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4/29/25: divesting Mobility,,
,,,,,,,,,,,,,,,1/6/25: acquires ProntoNLP,,
,,,,,,,,,,,,,,,11/1/2024: PrimeOne - sold to TS Imagine,,
,,,,,,,,,,,,,,,8/15/24: Fincentric - sold to Stellex Capital,,
,,,,,,,,,,,,,,,5/1/24: acquires Visible Alpha for $500m,,
,,,,,,,,,,,,,,,ChartIQ,,
,,,,,,,,,,,,,,,TruSight,,
,,,,,,,,,,,,,,,2/28/2022: merged with IHS Markit ($44B).,,
,,,,,,,,,,,,,,,11/30/2020: announced IHS Markit merger.,,
,,,,,,,,,,,,,,,3/6/2018: acquires Kensho for $550m,,
,,,,,,,,,,,,,,,4/27/2016: Changes name to S&P Global.,,
,Barclays,big deal win,,,,,,,,,,,,,7/27/2015: McGraw Hill Financial (MHFI) acquires SNL Financial for $2.225B in cash.,,
,Lost a lot of market share to FDS in IB over the last 10 years,,,,,,,,,,,,,,5/1/2013: Name changes to McGraw Hill Financial.,,
,Always has been weak on the buyside,,,,,,,,,,,,,,4/3/2012: Capital IP acquires QuantHouse (later sold back to founder),,
,,,,,,,,,,,,,,,9/21/2010: Capital IQ acquires TheMarkets.com,,
,Capital IQ Pro - very slow rollout,,,,,,,,,,,,,,9/17/2004: McGraw-Hill acquires Capital IQ (founded in 1998),,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Platts,,
