Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
,Subs,,,,,,,,205.0,236.0,263.0,
,MAUs,,,,,,,,489.0,602.0,675.0,0.3896296296296296
,,,,,,,,,,,,
,Premium,,,,,,,,1476.0,1681.0,1854.0,
,Ads,,,,,,,,10251.0,11566.0,13819.0,
,Revenue,1940.0,2952.0,4090.0,5259.0,6764.0,7880.0,9668.0,11727.0,13247.0,15673.0,
,COGS,1714.0,2551.0,3241.0,3906.0,5042.0,5865.0,7077.0,8801.0,9850.0,10949.0,
,Gross Profit,226.0,401.0,849.0,1353.0,1722.0,2015.0,2591.0,2926.0,3397.0,4724.0,
,R&D,136.0,207.0,396.0,493.0,615.0,837.0,912.0,1387.0,1725.0,1486.0,
,S&M,219.0,368.0,567.0,620.0,826.0,1029.0,1135.0,1572.0,1533.0,1392.0,
,G&A,106.0,175.0,264.0,283.0,354.0,442.0,450.0,626.0,585.0,481.0,
,Operating Expenses,461.0,750.0,1227.0,1396.0,1795.0,2308.0,2497.0,3585.0,3843.0,3359.0,
,Operating Income,-235.0,-349.0,-378.0,-43.0,-73.0,-293.0,94.0,-659.0,-446.0,1365.0,
,Interest Income,10.0,-58.0,-416.0,-130.0,-58.0,-416.0,155.0,289.0,-59.0,-24.0,
,Pretax Income,-225.0,-407.0,-794.0,-173.0,-131.0,-709.0,249.0,-370.0,-505.0,1341.0,
,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,27.0,203.0,
,Net Income,-225.0,-407.0,-794.0,-173.0,-131.0,-709.0,249.0,-430.0,-532.0,1138.0,
,EPS,-1.585103130332111,-2.249108630449287,-4.232786022905546,-0.9546919112077806,-0.7239145714713922,-3.7796540179345492,1.2838823778120374,-2.195598609077048,-2.731955556793494,5.497840336716343,
,Shares,141.9466,180.960579,187.583307,181.210292,180.960579,187.583307,193.943,195.846362,194.732304,206.990369,
,,,,,,,,,,,,
,Subs y/y,,,,,,,,,0.15121951219512186,0.11440677966101687,
,Revenue y/y,,0.5216494845360824,0.3855013550135502,0.28581907090464553,0.286176079102491,0.16499112950916617,0.2269035532994923,0.21297062474141493,0.12961541741280813,0.18313580433305665,
,Gross Margin,0.11649484536082474,0.13584010840108401,0.2075794621026895,0.2572732458642327,0.25458308693081017,0.25571065989847713,0.26799751758378154,0.2495096785196555,0.25643541934022795,0.3014100682702737,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Employees,,,,,,,,8359.0,9123.0,7691.0,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,CFFO,,,,,,,,46.0,680.0,2301.0,
,CX,,,,,,,,25.0,6.0,17.0,
,FCF,,,,,,,,21.0,674.0,2284.0,
