Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Brand,SRP-9003,,,,
,Generic,bidridistrogene xeboparvovec,,,,
,Indication,LGMD 2E/R4,,,,
,Commercial,three sarcoglycanopathies are 25% of Elevidys together,,,,
,Regulatory,BLA 2H25 - now at risk?,,,,
,Clinical Trials,,,,,
,,"Phase III ""EMERGENE"" n=17 LGMD2E/R4, single-arm open-label",,,,
,,1H25 biomarker data,,,,
,,biomarker expression of beta-sarcoglycan protein,,,,
,,"1.85x10E13, 7.41x10E13 doses",,,,
,,,,,,
,,1.85 dose,Immunoblot %,% fibers,Intensity,VC
,,Baseline mean,0,0.089,0.074,0
,,Baseline median,0,0.085,0.047,0
,,Day 60 Mean,0.362,0.51,0.474,0.6
,,Day 60 Median,0.347,0.489,0.474,0.4
,,Year 2 Mean,0.54,0.468,0.351,0.1
,,Year 2 Median,0.562,0.586,0.459,0.1
,,7.41 dose,,,,
,,Baseline mean,0.331,0.059,0.046,0
,,Baseline median,0.35,0.05,0.025,0
,,Day 60 Mean,0.621,0.723,0.731,0.6
,,Day 60 Median,0.631,0.748,0.671,0.4
,,Year 2 Mean,0.603,0.631,0.435,0.1
,,Year 2 Median,0.603,0.631,0.435,0.1
,,,,,,
,,,,,,
,,VOYAGENE,,,,
