Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,1H22,2H22,1H23,2H23,1H24,2H24,,,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0
,Revenue,87999,91593,98368,91176,85017,,,,58993.0,47656.0,149419.0,179592.0,189544.0,,,
,COGS,69865,74462,76934,74466,69618,,,,46625.0,38250.0,119943.0,144327.0,151400.0,,,
,Gross Profit,18134,17131,21434,16710,15399,,,,12368.0,9406.0,29476.0,35265.0,38144.0,,,
,SG&A,4460,4521,4921,4620,4564,,,,4922.0,3923.0,9130.0,8981.0,9541.0,,,
,R&D,2547,2653,2735,2884,2819,,,,2573.0,2231.0,4487.0,5200.0,5619.0,,,
,Operating Expenses,7007,7174,7656,7504,7383,,,,7495.0,6154.0,13617.0,14181.0,15160.0,,,
,Operating Income,11127,9957,13778,9206,8016,,,,4873.0,3252.0,15859.0,21084.0,22984.0,,,
,Interest,431,-935,69,-27,350,,,,-124.0,-94.0,3.0,-504.0,42.0,,,
,Pretax Income,11558,9022,13847,9179,8366,,,,4749.0,3158.0,15862.0,20580.0,23026.0,,,
,Taxes,1985,744,2692,1101,1342,,,,486.0,430.0,1911.0,2729.0,3793.0,,,
,Net Income,9573,8278,11155,8078,7024,,,,4263.0,2728.0,13951.0,17851.0,19233.0,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,CFFO,9843,10116,13393,9092,4889,,,,8667.0,6241.0,18646.0,19959.0,22485.0,,,
,CapEx,3963,4652,4447,5746,5703,,,,3544.0,2733.0,8687.0,8615.0,10193.0,,,
,FCF,5880,5464,8946,3346,-814,,,,5123.0,3508.0,9959.0,11344.0,12292.0,,,
,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,-0.1357250325309044,,,,,-0.19217534283728577,2.1353659560181297,0.2019354968243663,0.055414495077731774,,,
,Gross Margin,0.20607052352867647,0.18703394364198137,0.21789606376057255,0.18327191366148987,0.18112848018631567,,,,0.20965199260929263,0.1973728386771865,0.19727076208514313,0.196361753307497,0.20124087283163802,,,
