Main,Unnamed: 1,2020-02-01 00:00:00,2021-01-30 00:00:00,2022-01-29 00:00:00,2023-01-28 00:00:00,2024-02-03 00:00:00,2025-02-01 00:00:00
,,F2020,F2021,F2022,F2023,F2024,F2025
,TJ Maxx,,,,1319,1319,1333
,Marshalls,,,,1197,1197,1230
,Stores,,,,2516,2516,2563
,HomeGoods,,,,974,974,1015
,Sierra,,,,95,95,117
,TJX Canada,,,,566,566,576
,TJX International,,,,803,803,814
,All Stores,,,,4954,4954,5085
,,,,,,,
,,,,,,,
,,,,,,,
,Revenue,41716,32137,48550,49936,54217,56360
,COGS,29845,24534,34714,36149,37951,39112
,Gross Margin,11871,7603,13836,13787,16266,17248
,SG&A,7454,7021,9081,8927,10469,10946
,Operating Income,4417,582,4755,4860,5797,6302
,Interest Income,-10,-181,-115,-6,170,181
,Pretax Income,4407,401,4640,4854,5967,6483
,Taxes,1133,-1,1115,1138,1493,1619
,Net Income,3274,402,3525,3716,4474,4864
,EPS,2.6704730831973897,0.3308641975308642,2.898848684210526,3.154499151103565,3.8602243313201035,4.259194395796848
,Shares,1226,1215,1216,1178,1159,1142
,,,,,,,
,Revenue y/y,,-0.22962412503595742,0.5107197311510097,0.02854788877445924,0.08572973405959639,0.039526347824483166
,Gross Margin,0.2845670725860581,0.23658088807293773,0.2849845520082389,0.2760933995514258,0.3000165999594223,0.3060326472675656
,Operating Margin,0.10588263496020711,0.018109966705044032,0.09794026776519052,0.09732457545658443,0.10692218307910803,0.11181689141234918
,EPS y/y,,-0.8761027775892365,7.761445650039276,0.08819034545870519,0.2237201997564806,0.10335411370776626
,,,,,,,
,Cash,,,,,,5335
,AR,,,,,,549
,Inventories,,,,,,6421
,Prepaids,,,,,,617
,Taxes,,,,,,217
,PP&E,,,,,,7346
,Leases,,,,,,9641
,Goodwill,,,,,,94
,Other,,,,,,1529
,Assets,,,,,,31749
,,,,,,,
,AP,,,,,,4257
,AE,,,,,,5040
,Leases,,,,,,9912
,Taxes,,,,,,231
,OLTL,,,,,,1050
,Debt,,,,,,2866
,SE,,,,,,8393
,L+SE,,,,,,31749
,,,,,,,
,Model NI,3274,402,3525,3716,4474,4864
,Reported NI,3272.193,90,3283,3498,4474,4864
,CFFO,4066.54,4562,3057,4084,6057,6116
,CX,1223.116,568,1045,1457,1722,1918
,FCF,2843.424,3994,2012,2627,4335,4198
