Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125
,Revenue,,,,,,,,606,,,,741,575
,COGS,,,,,,,,100.695,,,,135.267,
,Gross Profit,,,,,,,,505.305,,,,605.733,
,S&M,,,,,,,,126.793,,,,150.629,
,T&D,,,,,,,,102.004,,,,127.893,
,G&A,,,,,,,,131.867,,,,131.914,
,Operating Expenses,,,,,,,,360.664,,,,410.436,
,Operating Income,,,,,,,,144.64100000000002,,,,195.29699999999997,
,Interest Income,,,,,,,,16.238,,,,26.29,
,Pretax Income,,,,,,,,160.87900000000002,,,,221.58699999999996,
,Taxes,,,,,,,,63.353,,,,39.37,
,Net Income,,,,,,,,97.52600000000001,,,,182.21699999999996,
,EPS,,,,,,,,0.1951761320199647,,,,0.3595136955625311,
,Shares,,,,,,,,499.682,,,,506.843,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,,0.22277227722772275,
