Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,
,WarnerMedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.0,430.0,20585.0,35259.0,30442.0,35632.0,,
,LatAm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7283.0,8269.0,5716.0,6963.0,5716.0,5354.0,,
,Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932.0,2131.0,2207.0,1264.0,,
,Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32124.0,28610.0,15513.0,,
,Eliminations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5253.0,-5180.0,-3629.0,,
,Service,,,,,,,26247,,,,24731,,,,,,,,,,,,,,,,,,,,,,,,,109969.0,109965.0,114730.0,,
,Equipment,,,,,,,5079,,,,5312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,,,31326,,,,30043,,,43126.0,46241.0,49531.0,51374.0,45908.0,42821.0,40498.0,40733.0,43764.0,63055.0,118322.0,123443.0,122513.0,124280.0,126723.0,127434.0,128752.0,132447.0,146801.0,163786.0,160546.0,170756.0,181193.0,171760.0,168864.0,,
,CoE,,,,,,,5401,,,,5440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027100423177665908
