Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand Name,"Tyvaso (Inhaled Remodulin, fka Viveta)",
,Generic Name,inhaled treprostinil,
,Indication,PAH  (pulmonary arterial hypertension),
,Competition,"Flolan, Revatio or Tracleer have about 20,000 users combined",
,Price,"3% on July 1st, Flolan charges 75-80K annualy, because remodulin will have a higher efficacy rate, 80K + premium= 90K a year",
,PK,Less D/D vs Revatio.,
,IP,"2017 COM: 5859006 ???, 5153222, 6521212, 6756033, 6765117.",
,Mechanism,,
,Market,Flolan transition patients start on higher doses of IV Remodulin,
,Clinical Trials,,
,,,
,,TRIUMPH I - n=235 - Successful outcome presented at ATS 2008,
,,"SS benefit in 6MWD at week 12 p<0.0006. 20m change from baseline. If mean improvement was used, p=0.09 (+14m at 12 weeks).",
,,"Benefits of inhaled remodulin: intravenous therapy is prone to catheter-related infections, drug tolerance, and major systemic side effects.",
,,,
,,,
,,Favorable Effects of Inhaled Treprostinil in Severe Pulmonary Hypertension,
,,n= 123 broken up into three groups -- Primary endpoint - change in PVR (pulmonary vascular resistance),
,,1. randomized crossover-design study (44 patients) vs iloprost,
,,,average mm hg - dosed at 7.5 μg
,,,"comparable PVR decrease, with a significantly different time course (p < 0.001), "
,,,treprostinil showing a more sustained effect on PVR (p < 0.0001) and fewer systemic side effects
,,2. Dose escalation Study (31 patients),
,,,3 H duration - A near-maximal acute PVR decrease was observed at 30 μg treprostinil 
,,3. study of reduction of inhalation time while keeping the dose fixed (48 patients).,
,,,"A dose of 15 μg treprostinil was inhaled with 18, 9, 3, 2 pulses, or 1 pulse, each mode achieving comparable, "
,,,sustained pulmonary vasodilation without significant side effects.
,,,
,,,
,,,
,,,
,,,
,,effect of PAH on exertion,
,,increase of CO when walking + remodulen increase of output,
,,whn will this walk take place (right after administration)?,
