Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Patent,Title,Assignee,Inventors,Importance,Filed,Issued,Notes
,11390600,Crystalline forms of C.sub.21H.sub.22Cl.sub.2N.sub.4O.sub.2,"Biomed Valley Discoveries, Inc. (Kansas City, MO); Vertex Pharmaceuticals Incorporated (Boston, MA)","DeCrescenzo; Gary (Parkville, MO), Welsch; Dean (Parkville, MO), Vlahova; Petinka I. (West Lafayette, IN), Boerrigter; Stephan X. M. (West Lafayette, IN), Aronov; Alexander (Newton, MA), Keshavarz-Shokri; Ali (San Diego, CA), Scangas; Alexander N. (Wilmington, MA), Stavropoulos; Kathy (Quincy, MA), Littler; Benjamin (Carlsbad, CA), Kadiyala; Irina Nikolaevna (Newton, MA), Alargova; Rossitza Gueorguieva (Brighton, MA)",2,2020-07-07 00:00:00,2022-07-19 00:00:00,Outlicensed ERK inhibitor
,11370798,Compounds useful as inhibitors of ATR kinase,Vertex,"Ahmad; Nadia (Didcot, GB), Boyall; Dean (Faringdon, GB), Charrier; Jean-Damien (Wantage, GB), Davis; Chris (Salisbury, GB), Davis; Rebecca (Witney, GB), Durrant; Steven (Abingdon, GB), Etxebarria I Jardi; Gorka (Abingdon, GB), Fraysse; Damien (Abingdon, GB), Jimenez; Juan-Miguel (Abingdon, GB), Kay; David (Purton, GB), Knegtel; Ronald (Abingdon, GB), Middleton; Donald (Sandwich, GB), O'Donnell; Michael (Abingdon, GB), Panesar; Maninder (Didcot, GB), Pierard; Francoise (Abingdon, GB), Pinder; Joanne (Didcot, GB), Shaw; David (Oxford, GB), Storck; Pierre-Henri (Abingdon, GB), Studley; John (Witney, GB), Twin; Heather (Wantage, GB)",2,2020-08-31 00:00:00,2022-06-28 00:00:00,ATR inhibitor
,11369692,Materials and methods for treatment of Duchenne Muscular Dystrophy,Vertex,"Kabadi; Ami Meda (Cambridge, MA), Cowan; Chad Albert (Cambridge, MA), Lundberg; Ante Sven (Cambridge, MA)",5,2016-10-28 00:00:00,2022-06-28 00:00:00,2016?! CRISPR patent
,11358977,Deuterated pyridone amides and prodrugs thereof as modulators of sodium channels,Vertex,"Jiang; Licong (San Diego, CA), Hadida Ruah; Sara Sabina (La Jolla, CA)",8,2018-05-16 00:00:00,2022-06-14 00:00:00,Nav1.8
,11345700,Methods of preparing inhibitors of influenza viruses replication,Vertex,"Tanoury; Gerald J. (Marlborough, MA), Nugent; William Aloysius (Manomet, MA), Dvornikovs; Vadims (Lancaster, MA), Rose; Peter Jamison (Littleton, MA)",1,2020-03-09 00:00:00,2022-05-31 00:00:00,Why still filing on this post sale to JNJ?
,11291662,"Solid forms of n-[2,4-bis(1,1-dimethylethyl)-5-hydroxyphenyl]-1,4-dihydro-4-oxoquinoline- -3-carboxamide",Vertex,"	Hurter; Patricia (Harvard, MA), Rowe; William (Medford, MA), Young; Christopher R. (Waltham, MA), Costache; Adriana (Cambridge, MA), Connelly; Patrick R. (Harvard, MA), Krawiec; Mariusz (Marlborough, MA), Gong; Yuchuan (Waukegan, IL), Feng; Yushi (Zionsville, IN), Trudeau; Martin (Shannon, CA)",3,2019-12-05 00:00:00,2022-04-05 00:00:00,Kalydeco
,11268077,Materials and methods for treatment of hemoglobinopathies,Vertex,"Chakraborty; Tirtha (Cambridge, MA), Mishra; Bibhu Prasad (Wakefield, MA)",5,2019-02-05 00:00:00,2022-03-08 00:00:00,CRISPR for HbF; where is CRSP?
,11253509,Methods of treatment for cystic fibrosis,Vertex,"Chen; Weichao George (San Diego, CA), Haseltine; Eric L. (Melrose, MA), Moskowitz; Samuel (Waban, MA), Robertson; Sarah (Somerville, MA), Waltz; David (Waban, MA)",2,2018-06-08 00:00:00,2022-02-22 00:00:00,
,11203571,Sulfonamides as modulators of sodium channels,Vertex,"Hadida-Ruah; Sara Sabina (LaJolla, CA), Anderson; Corey (San Diego, CA), Termin; Andreas P. (Encinitas, CA), Bear; Brian Richard (Carlsbad, CA), Arumugam; Vijayalaksmi (San Marcos, CA), Krenitsky; Paul (San Diego, CA), Johnson; James Philip (San Diego, CA)",8,2014-07-15 00:00:00,2021-12-21 00:00:00,Nav1.8
,11186566,"Modulator of cystic fibrosis transmembrane conductance regulator, pharmaceutical compositions, methods of treatment, and process for making the modulator",Vertex,"Alcacio; Timothy (San Diego, CA), Baek; Minson (San Diego, CA), Grootenhuis; Peter (Del Mar, CA), Hadida Ruah; Sara Sabina (La Jolla, CA), Hughes; Robert M. (San Diego, CA), Keshavarz-Shokri; Ali (San Diego, CA), McAuley-Aoki; Rachel (San Diego, CA), McCartney; Jason (Cardiff by the Sea, CA), Miller; Mark Thomas (San Diego, CA), Van Goor; Fredrick (San Diego, CA), Zhang; Beili (San Diego, CA), Anderson; Corey (San Diego, CA), Cleveland; Thomas (San Marcos, CA), Frieman; Bryan A. (La Jolla, CA), Khatuya; Haripada (San Diego, CA), Joshi; Pramod Virupax (San Diego, CA), Krenitsky; Paul John (San Diego, CA), Melillo; Vito (Escondido, CA), Pierre; Fabrice Jean Denis (La Jolla, CA), Termin; Andreas P. (Encinitas, CA), Uy; Johnny (San Diego, CA), Zhou; Jinglan (San Diego, CA), Abela; Alexander Russell (San Diego, CA), Busch; Brett Bradley (San Diego, CA), Paraselli; Prasuna (San Diego, CA)",6,2019-12-04 00:00:00,2021-11-30 00:00:00,CFTR
,11179394,Method for treating cancer using a combination of Chk1 and ATR inhibitors,Vertex,"Helleday; Thomas (Stockholm, SE), Sanjiv; Kumar (Stockholm, SE)",3,2015-06-17 00:00:00,2021-11-23 00:00:00,ATR/Chk1 MOU
,11179367,Pharmaceutical compositions for treating cystic fibrosis,Vertex,"	Chu; Cathy (Cambridge, MA), Dhamankar; Varsha (Watertown, MA), Dokou; Eleni (Cambridge, MA), Haseltine; Eric L. (Melrose, MA), Moskowitz; Samuel (Waban, MA), Robertson; Sarah (Somerville, MA), Waltz; David (Waban, MA), Chen; Weichao George (San Diego, CA)",2,2019-02-04 00:00:00,2021-11-23 00:00:00,Formulation
,11155533,Crystalline forms and compositions of CFTR modulators,Vertex,"Dhamankar; Varsha (Watertown, MA), Dinehart; Kirk Raymond (Holliston, MA), Dokou; Eleni (Newton, MA), Ferris; Lori Ann (Wilmington, MA), Gopinathan; Nishanth (Lynnfield, MA), McCarty; Katie (Watertown, MA), Metzler; Catherine (Medford, MA), Zhang; Beili (San Diego, CA), Moskowitz; Samuel (Waban, MA), Robertson; Sarah (Somerville, MA), Waltz; David (Waban, MA), Haseltine; Eric L. (Melrose, MA), Chen; Weichao George (San Diego, CA)",2,2020-03-25 00:00:00,2021-10-26 00:00:00,Crystal
,11147770,Pharmaceutical composition and administrations thereof,Vertex,"Dokou; Eleni (Cambridge, MA), Jamzad; Shahla (Belmont, MA), Caesar, Jr.; John P. (Lancaster, MA), Fawaz; Majed (Foxboro, MA), Das; Laura (Charlestown, MA), Gu; Chong-Hui (Waban, MA), Hurter; Patricia Nell (Harvard, MA), Israni; Meghna Jai (Boston, MA), Johnston; Meghan M. (Wakefield, MA), Knezic; Dragutin (Watertown, MA), Kuzmission; Andrew G. (Shrewsbury, MA), Wang; Hongren (Lexington, MA)",2,2019-03-12 00:00:00,2021-10-19 00:00:00,Formulation
,11124805,"Methods, compositions and kits for increasing genome editing efficiency",Vertex,"Abdul-Manan; Norzehan (Boston, MA), Newsome; David A. (Boston, MA), Zwahlen; Jacque (Boston, MA)",7,2017-07-13 00:00:00,2021-09-21 00:00:00,DNAPK inhibitor to increase CRISPR efficiency
,11117900,Compounds useful as inhibitors of ATR kinase,Vertex,"Ahmad; Nadia (Didcot, GB), Boyall; Dean (Faringdon, GB), Charrier; Jean-Damien (Wantage, GB), Davis; Chris (Salisbury, GB), Davis; Rebecca (Witney, GB), Durrant; Steven (Abingdon, GB), Etxebarria I Jardi; Gorka (Abingdon, GB), Fraysse; Damien (Abingdon, GB), Jimenez; Juan-Miguel (Abingdon, GB), Kay; David (Purton, GB), Knegtel; Ronald (Abingdon, GB), Middleton; Donald (Sandwich, GB), O'Donnell; Michael (Abingdon, GB), Panesar; Maninder (Didcot, GB), Pierard; Francoise (Abingdon, GB), Pinder; Joanne (Didcot, GB), Shaw; David (Oxford, GB), Storck; Pierre-Henri (Abingdon, GB), Studley; John (Witney, GB), Twin; Heather (Wantage, GB)",3,2019-08-06 00:00:00,2021-09-14 00:00:00,
,11110108,Method for treating cancer using a combination of DNA-damaging agents and DNA-PK inhibitors,Vertex,"Boucher; Diane M. (Boston, MA), Hillier; Shawn M. (Boston, MA), Tsai; Wanjung (Boston, MA), Hare; Brian (Boston, MA), Markland; William (Boston, MA), Newsome; David A. (Boston, MA), Penney; Marina S. (Boston, MA)",2,2017-09-27 00:00:00,2021-09-07 00:00:00,
,11110086,Compounds useful as inhibitors of ATR kinase and combination therapies thereof,Vertex,"Pollard; John Robert (Abingdon, GB), Reaper; Philip Michael (Abingdon, GB), Asmal; Mohammed (Newton, MA)",3,2019-07-10 00:00:00,2021-09-07 00:00:00,
,11084804,Modulators of ATP-binding cassette transporters,Vertex,"Hadida Ruah; Sara S. (La Jolla, CA), Hamilton; Matthew M. (Hackettstown, NJ), Miller; Mark (San Diego, CA), Grootenhuis; Peter D. J. (San Diego, CA)",5,2020-02-13 00:00:00,2021-08-10 00:00:00,CFTR
,11066417,"Modulators of cystic fibrosis transmembrane conductance regulator, pharmaceutical compositions, methods of treatment, and process for making the modulators",Vertex,"	Clemens; Jeremy J. (San Diego, CA), Abela; Alexander Russell (Escondido, CA), Anderson; Corey Don (San Diego, CA), Busch; Brett B. (San Diego, CA), Chen; Weichao George (San Diego, CA), Cleveland; Thomas (San Marcos, CA), Coon; Timothy Richard (Carlsbad, CA), Frieman; Bryan (La Jolla, CA), Ghirmai; Senait G. (San Diego, CA), Grootenhuis; Peter (Del Mar, CA), Gulevich; Anton V. (San Diego, CA), Hadida Ruah; Sara Sabina (La Jolla, CA), Hsia; Clara Kuang-Ju (San Diego, CA), Kang; Ping (San Diego, CA), Khatuya; Haripada (San Diego, CA), McCartney; Jason (Cardiff by the Sea, CA), Miller; Mark Thomas (San Diego, CA), Paraselli; Prasuna (San Diego, CA), Pierre; Fabrice (La Jolla, CA), Swift; Sara E. (San Diego, CA), Termin; Andreas (Encinitas, CA), Uy; Johnny (San Diego, CA), Vogel; Carl V. (Carlsbad, CA), Zhou; Jinglan (San Diego, CA)",6,2019-02-14 00:00:00,2021-07-20 00:00:00,
