Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Brand,Generic,Indication,MOA,Approval,IP,Economics,,,,Price,413.0,
,Trikafta,elexacaftor/ivacaftor/tezacaftor,Cystic Fibrosis,,2019-10-21 00:00:00,expires 2037,CFF/RPRX,,,,Shares,258.0,Q325
,Symdeko,tezacaftor/ivacaftor,Cystic Fibrosis,,2018-12-12 00:00:00,expires 2027,CFF/RPRX,,,,MC,106554.0,
,Orkambi,lumacaftor/ivacaftor,Cystic Fibrosis,CFTR corrector,,,CFF/RPRX,,,,Cash,12010.0,Q325
,Kalydeco,ivacaftor,Cystic Fibrosis (G551D),CFTR potentiator,2012-01-31 00:00:00,expires 2027,Mitsubishi Tanabe in Japan?,,,,Debt,0.0,Q325
,Casgevy,exagamglogene autotemcel,SCD/TDT,CRISPR,,,CRSP,,,,EV,94544.0,
,Alyftrek,vanzacaftor/tezacaftor/deutivacaftor,Cystic Fibrosis,,2024-12-20 00:00:00,,,,,,,,
,Journavx,suzetrigine,Pain,Nav1.8,,,,,,,,,
,,,,,Phase,,,,,,,,
,VX-147,inaxaplin,APOL1 FSGS,,II/III 48 week data YE26,,,,Founded: 1989,,,,
,ALPN-303,povetacicept,"IGaN, MN",APRIL/BRAF,III enrollment complete,,,,CMO: Carmen Bozic,,,,
,VX-880,zimislecel,T1D,cell therapy,I,,,,CSO: David Altshuler,,,,
,VX-522,nebulized,Cystic Fibrosis,mRNA,I/II,,MRNA,,Cell & Genetic Therapies: Bastiano Sanna,,,,
,VX-993,,Pain,Nav1.8,II,,,,CEO: Reshma Kewalramani,,,,
,VX-973,,Pain,Nav1.8,II,,,,International: Ludovic Fenaux,,,,
,VX-264,,T1D,cell therapy+device,I,,,,,,,,
,VX-864,,AATD,corrector,II,,,,,,,,
,VX-670,,DM1,oligo+peptide,I/II data in 1H26,,Entrada,,,,,,
,VX-828,,CF,corrector,II,,,,,,,,
,VX-407,,ADPKD,,II single arm study initiated,,,,,,,,
,,,DMD,CRISPR,"IND-enabling, IND in 2023??",,,,,,,,
,,,Liver Disease,CRISPR,,,VERV,,,,,,
,VX-634,,AATD,corrector,I,,,,,,,,
,,,,,,,,,,,,,
,Alpine acquisition.,,,8/7/24: Casgevy reimbursement for TDBT in England.,,,,,,,,,
,1H26 filing for povetacicept,,,10/11/22: VX-634 IND approved.,,,,,,,,,
,VX-993 2H25 results,,,7/20/22: Verve collaboration for liver disease. $25m upfront.,,,,,,,,,
,,,,7/18/22: Q2 earnings date.,,,,,,,,,
,,,,7/11/22: To acquire Viacyte for $320m.,,,,,,,,,
,,,,7/5/22: VX-880 clinical hold lifted.,,,,,,,,,
,,,,6/11/22: EHA Congress CTX001 data,,,,,,,,,
,,,,6/10/22: EU CF Conference presentation for Trikafta,,,,,,,,,
,,,,6/8/22: investor conference,,,,,,,,,
,,,,6/8/22: inaxaplin FTD & PRIME designation,,,,,,,,,
,,,,6/6/22: VX-880 data at ADA,,,,,,,,,
,,,,6/2/22: CTX001 latebreaker accepted at EHA,,,,,,,,,
,,,,5/31/22: VX-880 data to be presented at ADA,,,,,,,,,
,,,,5/18/22: BOD addition,,,,,,,,,
,,,,5/17/22: Headquarters expansion,,,,,,,,,
,,,,5/17/22: Health equity donations,,,,,,,,,
,,,,5/5/22: Q1 results,,,,,,,,,
,,,,4/21/22: Q1 results day.,,,,,,,,,
,,,,4/20/22: Health Canada Trikafta approval for 6-11yo,,,,,,,,,
,,,,3/31/22: VX-548 Phase II data,,,,,,,,,
,,,,3/26/22: Australia Trikafta reimbursement agreement,,,,,,,,,
,,,,3/22/22: VX-147 Phase II/III initiation,,,,,,,,,
,,,,3/1/22: investor conference,,,,,,,,,
,,,,1/26/22: Q421 results,,,,,,,,,
,,,,,,,,,,,,,
,,,,Alpine $4.9B acquisition,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,11/8/25: RAINER-3 update.,,,,,,,,,
