Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Brand,Trikafta,,,,,Elexacaftor
,Generic,"elexacaftor, tezacaftor, ivacaftor",,,,,
,Indication,"83,000 CF WW",,,,,
,IP,ivacaftor expires 2027,,,,,
,,tezacaftor expires 2027,,,,,
,Regulatory,Expanded in children 6-11 years old 6/21,,,,,
,Reimbursed,25 countries approved/reimbursed as of Q122.,,,,,
,Canada,MA granted for 6-11yo,,,,,
,Australia,signed reimbursement agreement with PBS,,,,,
,EMA,6-11yo label approved,,,,,
,UK,6-11yo label approved,,,,,
,Clinical Trials,,,,,,
,,Phase III 2-5yo,,,,,
,,sNDA by YE22,,,,,
