Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand Name,Lyrica,
,Generic Name,pregabalin,
,Mechanism,GABA mimetic that modulates voltage-gated calcium channels in the CNS. ,
,Indication,"Neuropathic pain associated with diabetic peripheral neuropathy, post-herpetic neuralgia, adjunctive partial onset seizures, fibromyalgia.",
,,"GAD received rec in EU on 1/29, non-approvable in the US in 2004",
,Timeline,6/27/2007: Receives approval for fibromyalgia.,
,IP,"6197819 expires 12/30/18. COM-style patent issued to Northwestern University. Filed 1995, continued from 1992 and 1990 filings. Issued 2001.",
,,"5563175 issued 10/8/96, expires 10/8/13. 5-year HW?",
,Rx,,
,,NRX,TRX
,,,
,2009-11-13 00:00:00,49634,209947
,2009-11-06 00:00:00,52695,220362
,2009-10-30 00:00:00,52148,210793
,2009-10-23 00:00:00,52617,207146
,2009-10-16 00:00:00,52309,201328
,2009-10-09 00:00:00,57242,208037
,2009-10-02 00:00:00,59496,219471
,2009-09-25 00:00:00,57651,210721
,2008-11-07 00:00:00,128829,242130
,2007-08-10 00:00:00,104844,175214
,2007-08-03 00:00:00,105008,177479
,2007-07-27 00:00:00,100901,168257
,2007-07-20 00:00:00,99262,167102
,2007-07-13 00:00:00,98465,162285
,2007-07-06 00:00:00,85691,155583
,2007-06-18 00:00:00,93717,162729
,2007-06-11 00:00:00,82375,148171
,2007-04-20 00:00:00,87415,151082
,2007-04-13 00:00:00,84808,147646
,2007-01-26 00:00:00,83184,140832
,2007-01-12 00:00:00,85518,147117
,2007-01-05 00:00:00,75652,139183
,2006-12-29 00:00:00,64517,120643
,2006-12-15 00:00:00,,137766
,2006-12-08 00:00:00,,140308
