Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Brands,,,,1859,2724.6,2701.7,2803.1,2611.9,2554.1,2483.1,2540.3,,,,,,2309.1,,,,2116.9,,,,,,,,,,,,,,,,,,,,,
,Complex/BS,,,,338.8,328.9,332.8,332,348.4,390.8,354.8,320.2,,,,,,1344.4,,,,1126.3,,,,,,,,,,,,,,,,,,,,,
,Generics,,,,1389.9,1346.6,1527.2,1385.4,1371,1233.3,1267.5,1206.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Developed,,,,2378.6,2571.6,2640.4,2655.9,2560.8,2476.1,2479.1,2431.5,,,,,,2165.4,,,,1891.7,,,,,,,,,,,,10428.7,9768.9,,2165.4,,,,,,
,China,,,,190.6,591.9,550.3,792.5,503.8,573.1,548.3,678.9,,,,,,543.9,,,,555.5,,,,,,,,,,,,2212.8,2201.2,,543.9,,,,,,
,JANZ,,,,389.5,481.9,501,505.3,539.2,423.8,427.1,383,,,,,,317.8,,,,276.1,,,,,,,,,,,,2027.4,1632.4,,317.8,,,,,,
,Emerging,,,,629,754.7,870,566.8,727.5,705.2,650.9,574,,,,,,626.4,,,,519.9,,,,,,,,,,,,3144.7,2615.6,,626.4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lipitor,,,,,464.6,398.3,410,390.3,440.1,405.6,420.4,,,380,381.6,379.8,388.9,348.4,375.6,355.9,388,348.4,375.6,355.9,,,,,,,,,,,,1468.8000000000002,,,,,,
,Norvasc,,,,,227.7,209.8,198.4,188.8,207.8,203,189.3,,,182.4,175.5,171.8,176.3,161.9,168.9,166.2,172.3,161.9,168.9,166.2,,,,,,,,,,,,673.3,,,,,,
,Lyrica,,,,,187.8,192.5,175.6,172.6,171.7,155.8,156.5,,,137.1,141.7,133.4,114.2,124.3,129.9,127,112.6,111.87,116.91000000000001,114.3,,,,,,,,,,,,495.4,,,,,,
,Viagra,,,,,139.6,134.8,138,121.4,129.8,115.1,117,,,111,110.5,92.3,100.7,106.1,100.2,88.6,98.5,95.49,90.18,79.74,,,,,,,,,,,,395.6,,,,,,
,EpiPen,,,,,103.7,104.1,129.5,54.4,88.8,106.5,114.4,,,127.5,131.9,87,80.2,115.5,123.2,73.1,96.7,115.5,123.2,73.1,,,,,,,,,,,,392.0,,,,,,
,Celebrex,,,,,89,82.3,86,87.1,85.2,85.9,82.2,,,82,84.7,75.1,72.2,72.2,74.1,67.1,63.4,64.98,66.69,60.38999999999999,,,,,,,,,,,,285.6,,,,,,
,Creon,,,,,69.9,80.7,81.1,78.1,74.7,75.4,76.4,,,74.1,77.5,80.6,75,78.2,84.6,90.4,82.4,82.11,88.83,94.92000000000002,,,,,,,,,,,,328.2,,,,,,
,Effexor,,,,,76.6,83.5,79.5,77.2,77.5,73.7,64.2,,,64.8,65.5,68,59.4,62.7,66.3,64.5,59.3,62.7,66.3,64.5,,,,,,,,,,,,252.89999999999998,,,,,,
,Zoloft,,,,,76.6,70.9,61.3,75.5,73.1,62.5,53.1,,,54.5,62.7,62,58,58.9,60.6,58.2,60.2,58.9,60.6,58.2,,,,,,,,,,,,235.7,,,,,,
,Xala,,,,,57.9,58.3,55.8,54,53,42.7,51,,,50.4,47.9,48.2,42.5,45.6,41.2,37.1,37.1,45.6,41.2,37.1,,,,,,,,,,,,166.4,,,,,,
,Influvac,,,,,,,161.2,134,,,159.3,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
,Dymista,,,,,40.3,54.6,35,38.1,44,55.5,38.6,,,57.7,44.1,45,48.2,55,43.5,41.3,42.8,55.55,43.935,41.713,,,,,,,,,,,,188.0,,,,,,
,Yupelri,,,,,36.9,41.8,39.4,43.8,43.7,49.1,53.4,,,55,58.3,60.5,55.2,54.5,62.2,66.6,58.3,55.045,62.822,67.26599999999999,,,,,,,,,,,,238.5,,,,,,
,Amitiza,,,,,45.9,52.1,49.5,54,41.8,44.1,39.4,,,41.5,37.7,41.2,30,36.9,38.2,41.1,33.3,37.269,38.582,41.511,,,,,,,,,,,,146.20000000000002,,,,,,
,Xanax,,,,,45.1,48.8,47.6,44.4,40,37.2,38.3,,,51.8,28.2,35.1,34.5,35.4,38.6,36.5,32.3,35.754,38.986000000000004,36.865,,,,,,,,,,,,145.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product,,,,3587.7,4400.1,4561.7,4520.5,4331.3,4178.2,4105.4,4067.4,,,3909.5,3933.9,3825.9,3653.5,3785.9,3738,3515.4,3243.2,3407.31,3364.2000000000003,3163.86,,,,,,,,11819.9,17813.6,16218.099999999999,15388.4,14692.8,,,,,,
,Other,,,,35.8,30.2,16.1,16.1,10.3,13.5,11.4,10.8,,,9.1,8,11.4,9.9,10.7,13.2,12.7,11.1,9.629999999999999,11.879999999999999,11.43,,,,,,,,126.1,72.7,44.6,38.5,46.5,,,,,,
,Revenue,,,,3623.5,4430.3,4577.8,4536.6,4341.6,4191.7,4116.799999999999,4078.2000000000003,0,0,3918.6,3941.9,3837.3,3663.4,3796.6,3751.2,3528.1,3254.2999999999997,3416.94,3376.0800000000004,3175.29,,,,,,,,11946.0,17886.3,16262.699999999999,15426.9,14739.3,,,,,,
