Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
,Service,,,,,,,27565,,,,27666,,,,,,,,,,,,,,,,,,,,,,,,107145.0,108605.0,110305.0,109872.0,110449.0,109625.0,109652.0,111571.0
,Wireless,,,,,,,5350,,,,6575,,,,,,,,,,,,,,,,,,,,,,,,18889.0,22258.0,21563.0,18420.0,23164.0,27210.0,24322.0,23217.0
,Revenue,,,,,,,32915,,,,34241,,,,,,,,,,,,88182.0,93469.0,97354.0,107808.0,107808.0,106565.0,110875.0,115846.0,120550.0,127079.0,131620.0,125980.0,126034.0,130863.0,131868.0,128292.0,133613.0,136835.0,133974.0,134788.0
,COGS,,,,,,,13528,,,,14601,,,,,,,,,,,,,,,,,,,,,,,,53063.0,55508.0,54726.0,51201.0,56301.0,59133.0,54887.0,54097.0
,Gross Margin,,,,,,,19387,,,,19640,,,,,,,,,,,,,,,,,,,,,,,,72971.0,75355.0,77142.0,77091.0,77312.0,77702.0,79087.0,80691.0
,SG&A,,,,,,,6521,,,,7422,,,,,,,,,,,,,,,,,,,,,,,,28592.0,31083.0,29896.0,31573.0,28658.0,30136.0,32745.0,34113.0
,OpInc,,,,,,,12866,,,,12218,,,,,,,,,,,,,,,,,,,,,,,,44379.0,44272.0,47246.0,45518.0,48654.0,47566.0,46342.0,46578.0
,Interest,,,,,,,-531,,,,-1374,,,,,,,,,,,,,,,,,,,,,,,,-4733.0,-4833.0,-4730.0,-4247.0,-3173.0,-2240.0,-5524.0,-5654.0
,Pretax,,,,,,,12335,,,,10844,,,,,,,,,,,,,,,,,,,,,,,,39646.0,39439.0,42516.0,41271.0,45481.0,45326.0,40818.0,40924.0
,Taxes,,,,,,,1967,,,,1620,,,,,,,,,,,,,,,,,,,,,,,,0.0,3584.0,2945.0,5619.0,6802.0,6523.0,4892.0,5030.0
,Net Income,,,,,,,10368,,,,9224,,,,,,,,,,,,,,,,,,,,,,,,39646.0,35855.0,39571.0,35652.0,38679.0,38803.0,35926.0,35894.0
,EPS,,,,,,,2.501930501930502,,,,2.1941008563273074,,,,,,,,,,,,,,,,,,,,,,,,9.695769136708241,8.677395934172313,9.558212560386474,8.607436021245775,9.320240963855422,9.230019029495718,8.523368920521946,8.499644802273265
,Shares,,,,,,,4144,,,,4204,,,,,,,,,,,,,,,,,,,,,,,,4089.0,4132.0,4140.0,4142.0,4150.0,4204.0,4215.0,4223.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,0.04028558408020655,,,,,,,,,,,,,0.059955546483409394,0.04156458290984166,0.10738130944799384,0.0,-0.01152975660433364,0.04044479894899822,0.044834272829763266,0.040605631614384574,0.05416009954375767,0.035733677476215586,-0.04285063060325178,0.0004286394665820037,0.03831505784153477,0.007679787258430659,-0.027118027118027133,0.041475696068344,0.024114420004041515,-0.02090839332042238,0.006075805753355201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,,,,,,,,,,27452.0,31390.0,33363.0,29780.0,31486.0,38818.0,30631.0,38930.0,22715.0,24318.0,34339.0,35746.0,41768.0,39539.0,37141.0,37475.0,36912.0
,CapEx,,,,,,,,,,,,,,,,,,,,,,,,,,17133.0,16872.0,16458.0,16244.0,16175.0,16604.0,17191.0,17775.0,17059.0,17247.0,16658.0,17939.0,18192.0,20286.0,23087.0,18767.0,17090.0
,FCF,,,,,,,,,,,,,,,,,,,,,,,,,,10319.0,14518.0,16905.0,13536.0,15311.0,22214.0,13440.0,21155.0,5656.0,7071.0,17681.0,17807.0,23576.0,19253.0,14054.0,18708.0,19822.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5036.0
,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26109.0
,Inventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2247.0
,Prepaids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7973.0
,PP&E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108522.0
,Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156613.0
,Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33970.0
,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24472.0
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19769.0
,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384711.0
