Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,2022-10-31 00:00:00,2023-01-31 00:00:00,2023-04-30 00:00:00,2023-07-30 00:00:00,2023-10-31 00:00:00,2024-01-31 00:00:00,2024-04-30 00:00:00,2024-07-30 00:00:00,2024-10-31 00:00:00,,,,,2022-07-31 00:00:00,2023-07-31 00:00:00,2024-07-31 00:00:00
,Revenue,,,355.548,387.598,418.8,455.0060000000001,496.703,524.999,553.201,592.8680000000002,627.955,,,,,1090.946,1616.952,2167.771
,COGS,,,,,95.849,95.849,111.394,,118.331,118.331,141.462,,,,,242.282,362.832,477.129
,Gross Profit,,,,,322.951,359.1570000000001,385.30899999999997,,434.87,474.53700000000015,486.49300000000005,,,,,848.6639999999999,1254.12,1690.6420000000003
,S&M,,,,,236.273,236.273,267.111,,262.447,262.447,306.087,,,,,735.219,953.864,1100.239
,R&D,,,,,92.637,92.637,113.539,,124.958,124.958,154.254,,,,,289.139,349.735,499.828
,G&A,,,,,43.486,43.486,50.716,,50.478,50.478,56.819,,,,,151.735,177.544,212.052
,Operating Expenses,,,,,372.39599999999996,372.39599999999996,431.366,,437.883,437.883,517.16,,,,,1176.0930000000003,1481.1430000000003,1812.119
,Operating Income,,,,,-49.444999999999936,-13.238999999999862,-46.057000000000016,,-3.012999999999977,36.65400000000017,-30.666999999999916,,,,,-327.4290000000004,-227.02300000000037,-121.47699999999963
,Interest Income,,,,,16.385,16.385,21.571,,23.879,23.879,26.252999999999997,,,,,-51.993,53.92100000000001,95.99799999999999
,Pretax Income,,,,,-33.05999999999993,3.1460000000001394,-24.486000000000015,,20.866000000000025,60.53300000000017,-4.41399999999992,,,,,-379.4220000000004,-173.10200000000037,-25.478999999999644
,Taxes,,,,,6.685,6.685,8.997,,1.742,1.742,7.637,,,,,6.648,19.771,28.477
,Net Income,,,,,-39.74499999999993,-3.5389999999998603,-33.48300000000002,,19.124000000000024,58.791000000000174,-12.05099999999992,,,,,-386.07000000000045,-192.8730000000004,-53.95599999999965
,EPS,,,,,-0.2734358875572735,-0.0243474551783911,-0.22681117696867073,,0.12411653610763186,0.38155905011000824,-0.07899342540820756,,,,,,,
,Shares,,,,,145.354,145.354,147.625,,154.081,154.081,152.557,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,0.39700687389607014,0.3544935732382519,0.32091929321872015,0.30298941112864464,0.2642464410321663,,,,,,0.482155853726949,0.34065266006659445
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,331.335,,,,,321.912,462.343,779.846
,CX,,,,,,,,,,,17.025,,,,,69.296,97.197,144.588
,FCF,,,,,,,,,,,314.31,,,,,252.61599999999999,365.146,635.258
,,,,,,,,,,,,0.5005294965403572,,,,,,,
