PALANTIR TECHNOLOGIES INC. - INTEGRATED FINANCIAL MODEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Quarterly & Annual Model with Market-Based Growth Drivers,,,,,,,,,,,,,,,,,,,,,,,,,
Model Date: August 2025 | Historical Data: 2020-2024 | Forecast: 2025-2044,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type,Historical Quarters,,,,,,,,,,,,,,,,Forecast Quarters,,,,,,,,
Quarter,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025E,Q2 2025E,Q3 2025E,Q4 2025E,Q1 2026E,Q2 2026E,Q3 2026E,Q4 2026E,
Year,2020,2021,2022,2023,2024,2025E,2026E,2027E,2028E,2029E,2030E,2031E,2032E,2033E,2034E,2035E,2036E,2037E,2038E,2039E,2040E,2041E,2042E,2043E,2044E
TAM & MARKET-BASED GROWTH DRIVERS,,,,,,,,,,,,,,,,,,,,,,,,,
MODEL ASSUMPTIONS & DRIVERS,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ADDRESSABLE MARKET (TAM),,,,,,,,,,,,,,,,,,,,,,,,,
Global Enterprise Analytics SW Market ($B),45,,,47,,,52,,,58,,,65,,,72,,,78,,,85,,,
Government/Defense Analytics TAM ($B),25,237,374,27,711,,30,,,33,,,36,,,39,,,42,,,45,,,
Commercial Enterprise TAM ($B),20,0.65,0.56,22,0.55,,25,,,28,,,32,,,36,,,40,,,44,,,
Commercial Customer %,0.25,0.35,0.44,0.45,0.45,,,,,,,,,,,,,,,,,,,,
PALANTIR ADDRESSABLE MARKET,7900,6500,5100,4200,4030,,,,,,,,,,,,,,,,,,,,
Serviceable Addressable Market (SAM) ($B),8.5,1.41,1.34,9.2,1.15,,10.1,,,11.2,,,12.5,,,13.8,,,15.2,,,16.8,,,
Government SAM ($B),6,,,6.5,,,7.2,,,7.9,,,8.6,,,9.4,,,10.2,,,11.1,,,
Commercial SAM ($B),2.5,,,2.7,,,2.9,,,3.3,,,3.9,,,4.4,,,5,,,5.7,,,
Annual Revenue Growth %,,0.41,0.24,0.17,0.29,,,,,,,,,,,,,,,,,,,,
MARKET PENETRATION METRICS,,,0.14,0.14,0.28,,,,,,,,,,,,,,,,,,,,
Overall Market Penetration %,0.34,,0.36,0.35,0.29,,0.36,,,0.38,,,0.4,,,0.42,,,0.44,,,0.46,,,
Government Market Share %,0.26,98,137,0.27,187,,0.28,,,0.29,,,0.3,,,0.31,,,0.32,,,0.33,,,
Commercial Market Share %,0.52,0.05,0.08,0.54,0.12,,0.56,,,0.59,,,0.62,,,0.65,,,0.68,,,0.71,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ARPU & CUSTOMER ECONOMICS,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Revenue Per Customer ($K) - Government,3200,0.78,0.79,3350,0.8,,3500,,,3650,,,3800,,,3950,,,4100,,,4250,,,
Avg Revenue Per Customer ($K) - Commercial,1800,0.82,0.83,1950,0.82,,2100,,,2300,,,2500,,,2750,,,3000,,,3300,,,
Blended ARPU ($K),2400,-0.27,-0.08,2550,0.11,,2700,,,2850,,,3000,,,3150,,,3300,,,3450,,,
Net Revenue Retention Rate - Gov,115,-0.24,-0.07,118,0.12,0.25,120,0.2,0.18,122,0.15,0.14,124,0.12,0.11,125,0.09,0.08,126,0.06,0.05,127,0.04,0.04,0.03
Net Revenue Retention Rate - Commercial,120,0.22,0.12,125,0.4,0.82,130,0.84,0.84,133,0.85,0.85,135,0.86,0.86,137,0.86,0.87,138,0.87,0.87,140,0.88,0.88,0.88
Operating Margin Target %,,,,,,0.15,0.18,0.21,0.23,0.25,0.27,0.28,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42
