Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Name,Indication,MOA,Economics,Approved,Admin,IP,,,Price,47.01,
,Casgevy (exa-cel),"SCD, B-thal",,VRTX,,,,,,Shares,85.168158,Q224
,CTX110,,CD19 CRSPR,,,,,,,MC,4003.75510758,
,CTX130,,,,,,,,,Cash,2012.8349999999998,Q224
,CTX131,Oncology,CD70,,,,,,,Debt,0.0,Q224
,CTX130,Oncology,,,,,,,,EV,1990.9201075800004,
,,,,,,,,,,,,
,CTX112,,CD19 CRSPR,,,,,,,,,
,,,,,,,,,,PIC,3223.924,
,CTX211,T1D,Allogeneic,,I,,,,,AD,1242.699,
,CTX310,CV,ANGPTL3,,I,,,,,,,
,CTX320,CV,LPA,,I,,,,,,,
,CTX340,Hypertension,Angiotensinogen,,PC,,,,,,,
,CTX450,AIP,ALAS1,,PC,,,,,,,
