Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,Price,19.77,
,,,Electron,$8m price tag?,,,,,,Shares,496.640145,Q224
,,,,,,,,,,MC,9818.57566665,
,,,,20+ launches expected in 2025,,,,,,Cash,496.755,Q224
,,,,16 launches in 2024,,,,,,Debt,391.78000000000003,Q224
,,,,10 launches in 2023,,,,,,EV,9713.600666650002,
,,,,HASTE?,,,,,,,,
,,,,,,,,,,PP&E,155.894,Q224
,,,,iQPS big customer - but only $300m MC (5595 JP),,,,,,,,
,,,,OroraTech,,,,,,CEO,Peter Beck,
,,,,"Kineis: 4/5 launches completed in Q125. French IoT provider, raised $100m.",,,,,,,,
,,,,Synspective,,,,,,,,
,,,,,,,,,,,,
,,,Neutron,medium-left reusable rocket,,,,,,,,
,,,,debut launch in 2H25,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,SDA Tranche 2 Constellation,,,,,,,,,
,,,VICTUS HAZE - $32m responsive space mission,,,,,,,,,
,,,Subcontractor for Kratos hypersonic flight testing? $1.48B 5-year KRATOS (KTOS) contract,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,"10% Customers: LMT, Dynetics Inc., MDA Corp, NOC",,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Space Systems,,,,,,,,,
,,,"Sinclair Interplanetary (acquired April 2020), Advanced Solutions, Incorporated (acquired October 2021), Planetary Systems Corp (acquired November 2021) and SolAero Technologies Corp. (acquired January 2022).",,,,,,,,,
,,,,,,,,,,,,
,,,Flatellite,"Low-cost satellite, high-speed and remote sensing",,,,,,,,
,,,,,,,,,,,,
,,,Rocket Lab Pioneer,spacecraft,,,,,,,,
,,,,"Varda customer, has used 3 spacecrafts",,,,,,,,
