Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Brand,Generic,Indication,MOA,Economics,Approval,IP,,,,
,Trizivir,abacavir+lamivudine+zidovudine,HIV,"NNRTI, NRTI",1,2000,"6/18/12 COM, 11/16 Crystal",,,,
,Lexiva,fosamprenavir,HIV,Protease,100%?,2003,2017 Prodrug patent,,,,
,Bonviva,,Osteoporosis,Bisphosphonate,Roche,2005,2012,,,,
,Avandaryl,rosiglitazone/glimepiride,Diabetes,TZD+Sulfon,1,2005,Avandia+Amaryl,,,,Old Drugs/Failures
,Avandia,rosiglitazone,Diabetes,PPAR,1,1999,2012 settlement with Teva,,,,"Zofran: 2002-2009: 708m, 774m, 763m, 837m, 847m, 196m, 110m, 109m"
,Entereg,,Post-Operative Ileus,,ADLR,2008,2017?,,,,otelixumab
,Coreg CR,carvedilol,Hypertension,Alpha/Beta-Blocker,FLML,2007,Poor IP?,,,,Rezonic/Zunrisa (casopitant) - CRL then discontinued 9/28/09.
,Arixtra,fondaparinux,DVT/VTE,LMWH,1,2001,Complex Mixture?,,,,Redona (DPP4) - safety discontinuation
,Wellbutrin/XL,bupropion,Depression,SSRI,Sold to BVF,2003,,,,,GW274150 (iNOS)
,Votrient,pazopanib,RCC,VEGF inhibitor,Sold to NVS,2009-10-19 00:00:00,NCE 2021: 7105530,,,,GSK 773812 (atypical)
,"Arranon, Atriance",nelarabine,"T-ALL, T-LBL",,Sold to NVS,2005,Poor IP?,,,,GSK 1838262 (migraine)
,Tykerb,lapatinib,Trastuzumab-R BC,Kinase,1,2007-03-01 00:00:00,2020,,,,almorexant: orexin antagonist insomnia candidate discontinued 1/11.
,Arzerra,ofatumumab,"CLL, FL, DLBCL",Anti-CD20,GEN DC,2009,"Sued by ROG/BIIB, Antibody",,,,"GW-353,162/radafaxine"
,Promacta/Revolade,eltrombopag,ITP,Peptidomimetic,LGND,2008-11-01 00:00:00,NCE,,,,Simplirix (Herpes Simplex Vaccine).
,Requip,ropinirole,RLS,Dopamine Agonist,1,1997,2008 generic?,,,,"New Generation Flu (discontinued Q2 2010), possible code name 2186877A."
,Lovaza,,Triglycerides,Fish Oil,1,2004,Soon?,,,,InterCell patch vaccine (travellers' diarrhea).
,Combivir,lamivudine/zidovudine,HIV,Combination,1,1997,12/26/2009 30-month expiry,,,,
,Paxil CR,paroxetine,Depression,SSRI,1,1992/1999,Generic?,,,,
,Requip XL,RLS,Dopamine Agonist,1,2008-07-01 00:00:00,,qd vs tid,,,,Consumer
,Trexima,Migraine,Triptan/NSAID,POZN,2008,Generic Components,Poor IP,,,,"Sensodyne is 11% of Consumer, 2% of Total Revenue."
,Horizant,RLS,Gabapentin ER,XNPT,2011-04-06 00:00:00,Gabapentin,Carcinogenicity,,,,
,Xyzal (levocetirizine),Allergic Rhinitis,,Japan Only;UCB,,,,,,,
,Relenza (zanamivir),Influenza,,Biota,1999,,,,,,
,Havrix,HAV,Vaccine,1,,,Vaccine,,,,Controversies
,Prepandrix,H5N1 influenza,Vaccine,1,,Vaccine,,,,,$750m Puerto Rico manufacturing facility
,Pandemrix/Arepanrix,H1N1 influenza,Vaccine,1,2010,,,,,,$3.4bn Avandia/US Attorney's DofCo.
,Twinrix,HBV/HAV,Vaccine,1,,Vaccine,,,,,"$2.36bn settlements for PR, Avandia, Paxil and other."
,Serevent (salmeterol),Asthma,LABA,1,1994,Expired?,,,,,$400m for DofCo.
,Imitrex (sumatriptin),Migraine,Triptan,1,1995,Generic,,,,,
,Valtrex,Herpes,Antiviral,1,1995,2009 but generic approved,,,,,"EM Acquisitions intelligent: Laboratorios Phoenix, Maxinutrition, Nanjing MeiRui, Dong-A, UCB portfolio, Aspen (A)."
,Lamictal (lamotrigine),Epilepsy/Bipolar,Ion Channel,1,1994,Generic,,,,,
,Lamictal XR,Epilepsy,Ion Channel,1,2009-05-29 00:00:00,US Only,,,,,
,Avodart (dutasteride),BPH,5-alpha reductase,1,2001,9/2013: 5998427 COM,,,,,
,Jalyn/Duodart (dutasteride/tamsulosin),BPH,Combination,1,2010,9/2013: 5998427 COM,,,,,
,Allermist (fluticasone),Allergic Rhinitis,Steroid,1,2007-05-01 00:00:00,2021,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,darapladib,,Atherosclerosis,LP-PLA2,HGSI,III,,,,,Vaccines focus (A).
,Syncria (albiglutide),Type 2 Diabetes,GLP-1,HGSI,III,"Byetta, Byetta LAR, Victoza",,,,,Selling research centers to Aptuit and Galapagos. (A).
,GSK2118436 (dabrafenib),Melanoma,BRAF,1,Filed,Roche,,,,,Sirtris acquisition (F).
,IDX899,HIV,NNRTI,IDIX,II,,,,,,Legal strategy (D).
,firategrast ('699),Multiple Sclerosis,VLA4,Tanabe?,II,Daiichi,,,,,Advair life-cycle management is brilliant (A).
,681323 (losmapimod),"COPD, CV",p38 kinase,1,II,,,,,,"Poor licensing decisions or defensive maneuvers? Almorexant, Intercell (C-)."
,"597599+parox, vestipitant",Depression,,1,II,,,,,,
,1349572,HIV,Integrase,Shionogi,III,MRK/GILD,,,,,
,Herpes Zoster Vaccine,Shingles,Vaccine,1,III,,,,,,
,NicVax,Nictoine Addiction,Vaccine,NABI,III,,,,,,
,rilapladib,Atherosclerosis,LP-PLA2,HGSI,II,,,,,,
,2402968/PRO051,Duchenne Muscular Dystrophy,Antisense,?,II,,,,,,
,XL880 (foretinib),HCC,C-MET/VEGFR,EXEL,II,,,,,,
,GSK2402968,DMD,Exon 51 skipper,Prosensa,III,,,,,,
,1362885,Type 2 Diabetes,Glycogen Phosphorylase,1,II,,,,,,
,1292263,Type 2 Diabetes,GPR119 agonist,1,II,,,,,,
,557296,Premature Ejaculation,Oxytocin,1,II,,,,,,
,221149 (retosiban),Pre-Term Labour,Oxytocin,1,II,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,2011: submit ezogabine CR.,,,,,,,,,
,,2012: File Relovair.,,,,,,,,,
,,2012: MAGE data.,,,,,,,,,
,,,,,,,,,,,
,,September 10 2006: DREAM results for Avandia in pre-diabetics,,,,,,,,,
,,May 1 2007: AdCom for Advair,,,,,,,,,
,,4/15/2008: Trexima PDUFA,,,,,,,,,
,,7/10/2008: Lamictal XR response submitted.,,,,,,,,,
,,Q2 2008: Advair COPD PDUFA,,,,,,,,,
,,2008: Acquires Sirtris.,,,,,,,,,
,,1/23/09: Acquires UCB EM products for 515GBP.,,,,,,,,,
,,5/29/09: Lamictal XR approved.,,,,,,,,,
,,6/6/09: Shenzhen Neptunus deal for flu vaccines in China.,,,,,,,,,
,,6/15/09: RDY emerging markets deal.,,,,,,,,,
