Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Name,Indication,Economics,Approved,Competition,Administration,Mechanism,IP,,Price,26.86,
,Risperdal Consta,Schizophrenia,"2.5%, JNJ",2003-10-29 00:00:00,Invega Sustenna,IM q2w,Atypical,"Medisorb, 10-17",,Shares,164.668329,Q224
,Vivitrol,Alcoholism,1,2006-04-01 00:00:00,"Campral, Oral Naltrexone",IM qm,Naltrexone,"Medisorb, 10-17",,MC,4422.99131694,
,,,,Phase,,,,,,Cash,962.519,Q224
,Byetta LAR,T2 diabetes,AMLN,,"Lariglutide, Januvia",IM qw,GLP1,"Medisorb, 10-17, Biologic",,Debt,289.459,Q224
,,,,,,,,,,EV,3749.9313169399993,
,ALKS 33,Addiction,1,I,,Oral,Opioid Receptor,,,,,
,ALKS 29,Alcohol dependence,1,I,,Oral,Baclofen/ALKS33,,,,,
,nemvaleukin alfa,Mucosal Melanoma,1,,,,,,,,,
,ALKS 36,Pain,1,I,,Oral,,,,"Jessica Rege, VP, Head of Oncology",,
,ALKS 27,COPD,1,,Spiriva,Inhaled,trospium,,,,,
,ALKS 37,OIC,1,I,"Entereg, Relistor",Oral,Opioid Antagonist,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1. Can agreement with JNJ be re-negotiated? Does the current agreement preclude an acquisition of Alkermes? Has JNJ violated the agreement by developing Sustenna?,,,,,,,,,,,
,"2. Can the Alkermes technology be added to other pharmaceutical products? Antipsychotics? Antidiabetics? HIV? Alzheimer's? Parkinsons? Pain? Bisphosphonates? Others? Compliance sensitive, smaller molecule. ",,,,,,YE09? - Vivitrol in opiate dependence Phase III,,,,,
,3. Will Vivitrol succeed in opioid addiction study? Can the product be meaningful regardless?,,,,,,YE09? - Victoza FDA action,,,,,
,4. Pipeline: ALKS33: Is doing a phase 2 head-to-head versus naltrexone worth the expense?,,,,,,Q1 2010: Byetta LAR DURATION-4 results.,,,,,
,5. Longevity of Risperdal Consta. Liability to succumb to Invega Sustenna competition.,,,,,,March 2010: Byetta LAR PDUFA.,,,,,
,6. Sales potential of Byetta LAR,,,,,,1H10: JNJ files Sustenna in Europe.,,,,,
,"7. IP of Medisorb, difficulty in genericizing.",,,,,,,,,,,
,8. Budgeting core expenses - $3.1m annual lease expense. 570 FTEs.,,,,,,,,,,,
