Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Brand,,,,,,,,,Price JPY,8383.0,
,Rexulti,,,,,,,,,Shares,542.725725,Q224
,Lonsurf,,,,,,,,,MC JPY,4549669.752675,
,Abilify Maintena,,,,,,,,,Cash JPY,1121797.0,Q224
,Abilify Asimtufii,,,,,,,,,Debt JPY,186798.0,Q224
,Samsca/Jinarc/Jynarque,,,,,,,,,EV JPY,3614670.7526749996,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,Acquires Jnana.,,,,,
