Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Name,Indication,Mechanism,Phase,,,,,Price,5.51,,
,efzofitimod,sarcoidosis,neuropilin 2,II,,,,,Shares,97.986634,Q225,
,,,,,,,,,MC,539.9063533399999,,
,,,,,,,,,Cash,112.38900000000001,Q225,
,,,,,,,,,Debt,0.0,Q225,
,,,,,,,,,EV,427.5173533399999,,
,Success,15,,,,,,,,,,
,Cash/Share,1,,,,,,,PIC,621.953,,
,Strike,Value,Price,Return,POS,,,,AD,546.926,,
,1,0,0.15,-1,,,,,,,,
,2,1,0.5,1,0.5,,,,Founded,2005.0,,
,3,2,1,1,0.5,,,,,,,
,4,3,1.55,0.9354838709677418,0.5166666666666667,,,,,,,0.99
,5,4,2.15,0.8604651162790697,0.5375,,,,,,,
,6,5,2.8,0.7857142857142858,0.5599999999999999,,,,SEPTEMBER,12.0,FRIDAY,0.01
,7,6,3.45,0.7391304347826086,0.5750000000000001,,,,SEPTEMBER,13.0,SATURDAY,0.0
,8,7,4.25,0.6470588235294117,0.6071428571428571,,,,SEPTEMBER,14.0,SUNDAY,0.0
,9,8,5,0.6000000000000001,0.625,,,,SEPTEMBER,15.0,MONDAY,0.41
,10,9,5.8,0.5517241379310345,0.6444444444444444,,,,SEPTEMBER,16.0,TUESDAY,0.27
,11,10,6.7,0.4925373134328357,0.67,,,,SEPTEMBER,17.0,WEDNESDAY,0.16
,12,11,7.6,0.44736842105263164,0.6909090909090909,,,,SEPTEMBER,18.0,THURSDAY,0.13
,,,,,,,,,SEPTEMBER,19.0,FRIDAY,0.01
,Strike,Value on Fail,Price,Return,POS,Value on Success,Return,,,,,
,1,0,4.6,-1,0.32857142857142857,14,2.0434782608695654,,,,,
,2,0,4,-1,0.3076923076923077,13,2.25,,,,,
,3,0,3.5,-1,0.2916666666666667,12,2.4285714285714284,,,,,
,4,0,3.02,-1,0.27454545454545454,11,2.642384105960265,,,,,
,5,0,2.6,-1,0.26,10,2.846153846153846,,,,,
,6,0,2.25,-1,0.25,9,3,,,,,
,7,0,2,-1,0.25,8,3,,,,,
,8,0,1.85,-1,0.2642857142857143,7,2.7837837837837838,,,,,
,9,0,1.675,-1,0.2791666666666667,6,2.582089552238806,,,,,
,10,0,1.6,-1,0.32,5,2.125,,,,,
,11,0,1.475,-1,0.36875,4,1.711864406779661,,,,,
,12,0,1.375,-1,0.4583333333333333,3,1.1818181818181817,,,,,
