Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,Indication,MOA,Phase,,,,,Price,56.68,
,omecamtiv mecarbil,,cardiac myosin activator,,,,,,Shares,117.659578,Q224
,CK-586 (CK-4021586),HFpEF,cardiac myosin inhibitor,,,,,,MC,6668.94488104,
,aficamten,,cardiac myosin inhibitor,Filing,,,,,Cash,1362.136,Q224
,CK-136 (CK-3828136),,cardiac troponin activator,,,,,,Debt,654.951,Q224
,,Muscular Dystrophy,fast skeletal troponin activator,,,,,,EV,5961.75988104,
,,,,,,,,,,,
,,,,,,,,,PIC,2500.654,
,,,,,,,,,AD,2391.199,
,,,,,,,,,,,
,,,,,,,,,Founded: 1997,,
