Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,"personal, commercial auto insurance",,,,,,,,,Price,279.0,
,personal residential property insurance,,,,,,,,,Shares,586.207679,Q424
,"motorcycle, watercraft and other recreational vehicles",,,,,,,,,MC,163551.942441,
,"general liability, commercial property for small businesses",,,,,,,,,Cash,28850.0,Q424
,workers comp for transportation industry,,,,,,,,,Debt,6893.0,Q424
,specialty property-casualty insurance,,,,,,,,,EV,141594.942441,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,peronal auto - 85% of premiums,,,,,,,,,,
,,,,,,,,,,,,
,State Farm,0.183,,,,,,,,,,
,Progressive,0.153,,,,,,,,,,
,GEICO,0.123,,,,,,,,,,
,AllState,0.104,,,,,,,,,,
