Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Brand,Indication,Approval,MOA,Economics,,,,,Price,13.0,
,Exondys 51 (eteplirsen),DMD,,,,,,,,Shares,97.0,Q125
,Elevidys (delandistrogene moxeparvovec),DMD,2024-06-20 00:00:00,AAV,Roche,,,,,MC,1261.0,
,Vyondys 53 (golodirsen),DMD,,,,,,,,Cash,786.0,Q125
,Amondys 45 (casimersen),DMD,,,,,,,,Debt,1138.0,Q125
,,,Phase,,,,,,,EV,1613.0,
,SRP-5051,DMD,,,,,,,,,,
,SRP-9004 (patidistrogene bexoparvovec),LGMD2D/R3,I,AAVrh74 alpha-sarcoglycan tMCK,,,,,,AD,5801.161,Q125
,SRP-9003 (bidridistrogene xeboparvovec),LGMD2E/R4,III,AAVrh74  beta-sarcoglycan MHCK7,,,,,,PIC,4658.482,Q125
,SRP-1001,"FSHD1 (13,000 US patients)",I/II - 2H25 results,DUX4 avb6,ARWR,,,,,,,
,SRP-1003,"Myotonic Dystrophy (30,000 US patients)",I/II - 2H25 results,DM1 avb6,ARWR,,,,,,,
,SRP-1002,IPF,I/II,MMP7,ARWR,,,,,CSO: Louise Rodino-Klapac,,
,SRP-6004,LGMD2B/R2,I,AAVrh74 dual vector dysferlin MHCK7,,,,,,,,
,SRP-1004,"SCA2 (2,000 patients)",I,ATXN2 avb6,ARWR,,,,,,,
,SRP-9005,LGMD2C/R5,IND 1H25,AAVrh74 gamma-sarcoglycan MHCK7,,,,,,,,
,SRP-9010,LGMD2A/R1,IND 2H25,AAVrh74 CAPN3 tMCK,,,,,,,,
,SRP-6006,LGMD2B/R2,Preclinical,rh74Myo dual vector dysferlin MHCK7,,,,,,,,
,ARO-HTT,Huntington's,IND 2H25,HTT,ARWR,,,,,,,
,ARO-ATXN1,Ataxia,Preclinical,ATXN1,ARWR,,,,,,,
,ARO-ATXN3,Ataxia,Preclinical,ATXN3,ARWR,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,10 approved therapies by 2030,,,,,,,,,,,
,Revenue of $30B,,,,,,,,,,,
,Operating Income of $16B,,,,,,,,,,,
