Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Snapchat+,,,,,,,,,Price,11.28,
,,2 million paying subscribers,,,,,,,,Shares,1663.0,Q324
,,Custom Story Expiration,,,,,,,,MC,18758.64,
,,Custom Notification Sounds,,,,,,,,Cash,3192.129,Q324
,,,,,,,,,,Debt,3641.328,Q324
,BigCommerce,,,,,,,,,EV,19207.839,
,Smartly.io,,,,,,,,,,,
,,,,,,,,,,,,
,"300,000 AR creators, 3 million AR lenses",,,,,,,,,,,
,Lens Studio,,,,,,,,,,,
,,,,,,,,,,,,
,Spotlight,,,,,,,,,,,
,,,,,,,,,,,,
,Bitmoji,,,,,,,,,,,
