Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Name,MOA,Economics,Phase,Indication,,,,,Price,29.37,
,aficamten,,,,,,,,,Shares,593.459148,Q224
,ampreloxetine,,,,,,,,,MC,17429.89517676,
,BCX10013,,,,,,,,,Cash,2924.6600000000003,Q224
,MK-8189,PDE10A inhibitor,MRK,,Schizophrenia,,,,,Debt,7602.019,Q224
,olpsairan,LP(a) siRNA,AMGN,,,,,,,EV,22107.25417676,
,omecamtiv mecarbil,,CYTK,,,,,,,,,
,pelabresib,BET inhibitor,MOR,,Myelofibrosis,,,,,,,
,pelacarsen,,NVS,,,,,,,,,
,seltorexant,Orexin 2 antagonist,JNJ,,Insomnia,,,,,,,
,trontinemab,transferrin-gantenerumab,Roche,,Alzheimer's,,,,Company: executive officers,,,
,tulmimetostat,EZH2 inhibitor,MOR,,,,,,Manager: 75 employees,,,
,zavegepant,CGRP,PFE,,Migraine,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Tazverik,,,,,,,,,,,
