Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Construction Cloud,Planning/Execution of Construction,,,,,,,,Price,221.7,
,Fusion 360,Modeling/Simulation/Design of Electronics,,,,,,,,Shares,217.272205,Q122
,ShotGrid,"PM for film, TV & games",,,,,,,,MC,48169.2478485,
,AutoCAD,Flagship engineering product,,,,,,,,Cash,1624.0,Q122
,Civil 3D,,,,,,,,,Debt,2629.0,Q122
,InfraWorks,,,,,,,,,EV,49174.2478485,
,,,,,,,,,,,,
,Innovyze (Water infrastructure software),,,,,,,,,,,
,Upchain,,,,,,,,,,,
,,,,,,,,,,,,
,Tech Data/Ingram Micro 45% of revenue,,,,,,,,,CEO: Andrew Anagnost,,
,,,,,,,,,,CFO: Debbie Clifford,,
