Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,Price,77.0,
,,,,,,,,,,Shares,498.0,Q325
,,,,,,,,,,MC,38346.0,
,,,,,,,,,,Cash,3016.0,Q325
,,,,,,,,,,Debt,14035.0,Q325
,,,,,,,,,,EV,49365.0,
,,,,,,,,,,,,
,,,,,,,,,,PP&E,16631.51,Q225
,,,,,,,,,,,36631.509999999995,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,2029,270,,
,,,,,,,,,6/1/2030 9.25%,2000,0.95,
,,,,,,,,,2/1/2031 9%,1750,0.93,
,,,,,,,,,TL,5000,,
,,,,,,,,,TL,2500,,
