Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Name,Indication,Economics,,MOA,,,,,Price,39.9,
,Spinraza (nusinersen),SMA,BIIB,,,,,,,Shares,146.211091,Q224
,eplontersen,ATTR,AZN,,,,,,,MC,5833.8225309,
,,,,,,,,,,Cash,2078.686,Q224
,,,,Phase,,,,,,Debt,1768.7780000000002,Q224
,bepirovirsen,Hepatitis B,GSK,III,,,,,,EV,5523.9145309,
,olezarsen,FCS,,,,,,,,,,
,pelacarsen,,NVS,III,,,,,,,,
,tofersen,ALS,,,SOD1-ALS,,,,,,,
,fesomersen,Thrombosis,Bayer,II,,,,,,,,
,FB-LRx,IgAN,Roche,II,Complement Factor B,,,,,,,
,ION582,Angelman,,,,,,,,,,
,donidalorsen,HAE,,,,,,,,,,
,ION449/AZD8233,Hypercholesterolemia,,,PCSK9,,,,,,,
,zilganersen,,,,,,,,,,,
