Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Name,Indication,Approved,,,,,,,Price,39.7,
,Crysvita,X-linked Hypophosphatemia,2018-04-17 00:00:00,,,,,,,Shares,94.542035,Q125
,Dojolvi,,,,,,,,,MC,3753.3187895,
,Evkeeza,,,,,,,,,Cash,563.003,Q125
,Mepsevii,,,,,,,,,Debt,0.0,Q125
,,,Phase,MOA,,,,,,EV,3190.3157895,
,UX701,Wilson's Disease,II,GT,,,,,,,,
,GTX-102,Angelman Syndrome,,,,,,,,,,
,UX143 (setrusumab),Osteogenesis Imperfecta,II,Sclerostin,,,,,,,,
,DTX401,GSDIa,,GT,,,,,,,,
,DTX301,OTC Deficiency,III,GT,,,,,,,,
,UX111,Sanfilippo,,GT,,,,,,,,
